,subject,trial,rt,choice,item_value_0,item_value_1,item_value_2,gaze_0,gaze_1,gaze_2,n_items,dataset
1,0,1,1913.0,0.0,3.0,2.0,,0.4665775299072266,0.5334224700927734,,2,krajbich2010
3,0,3,2051.0,1.0,6.0,6.0,,0.464374989271164,0.5356249809265137,,2,krajbich2010
5,0,5,2504.0,0.0,6.0,2.0,,0.5242047309875488,0.4757952988147736,,2,krajbich2010
7,0,7,1426.0,0.0,6.0,5.0,,1.0,0.0,,2,krajbich2010
9,0,9,1209.0,0.0,6.0,8.0,,0.42971429228782654,0.5702857375144958,,2,krajbich2010
11,0,11,1439.0,1.0,2.0,6.0,,0.5604770183563232,0.4395230114459992,,2,krajbich2010
13,0,13,1270.0,1.0,1.0,5.0,,0.6521264910697937,0.3478735089302063,,2,krajbich2010
15,0,15,3525.0,1.0,2.0,2.0,,0.48908731341362,0.5109127163887024,,2,krajbich2010
17,0,17,3582.0,0.0,1.0,2.0,,0.6667738556861877,0.3332261145114899,,2,krajbich2010
19,0,19,1727.0,1.0,2.0,5.0,,0.4961349368095398,0.5038650631904602,,2,krajbich2010
21,0,21,1568.0,0.0,10.0,5.0,,0.6347687244415283,0.3652312457561493,,2,krajbich2010
23,0,23,1595.0,1.0,8.0,7.0,,0.7255496382713318,0.2744503319263458,,2,krajbich2010
25,0,25,1471.0,1.0,2.0,7.0,,0.5627272725105286,0.4372727274894713,,2,krajbich2010
27,0,27,1303.0,1.0,4.0,9.0,,0.7566735148429871,0.2433264851570129,,2,krajbich2010
29,0,29,1581.0,0.0,6.0,5.0,,0.8660179376602173,0.13398203253746033,,2,krajbich2010
31,0,31,1291.0,0.0,10.0,5.0,,0.7407407164573669,0.2592592537403107,,2,krajbich2010
33,0,33,1250.0,0.0,9.0,6.0,,0.5926305055618286,0.4073694944381714,,2,krajbich2010
35,0,35,1342.0,1.0,10.0,9.0,,0.4358707070350647,0.5641292929649353,,2,krajbich2010
37,0,37,2243.0,0.0,4.0,3.0,,0.5673902034759521,0.4326097965240479,,2,krajbich2010
39,0,39,1112.0,0.0,7.0,2.0,,0.7869101762771606,0.21308980882167816,,2,krajbich2010
41,0,41,807.0,0.0,10.0,5.0,,0.65444016456604,0.34555983543396,,2,krajbich2010
43,0,43,4096.0,0.0,4.0,3.0,,0.4064429402351379,0.5935570597648621,,2,krajbich2010
45,0,45,1970.0,1.0,4.0,7.0,,0.4939759075641632,0.5060241222381592,,2,krajbich2010
47,0,47,1668.0,0.0,9.0,4.0,,0.4182732701301575,0.5817267298698425,,2,krajbich2010
49,0,49,2241.0,1.0,2.0,7.0,,0.6926044821739197,0.30739548802375793,,2,krajbich2010
51,0,51,1251.0,0.0,6.0,8.0,,0.4871481060981751,0.5128518939018251,,2,krajbich2010
53,0,53,1125.0,1.0,1.0,3.0,,0.5949820876121521,0.4050179123878479,,2,krajbich2010
55,0,55,975.0,1.0,1.0,3.0,,0.3142857253551483,0.6857143044471741,,2,krajbich2010
57,0,57,682.0,1.0,1.0,4.0,,0.49659863114357,0.5034013390541077,,2,krajbich2010
59,0,59,1009.0,0.0,5.0,3.0,,0.4742404222488403,0.5257595777511597,,2,krajbich2010
61,0,61,852.0,1.0,6.0,10.0,,0.8228663206100464,0.17713364958763125,,2,krajbich2010
63,0,63,1025.0,1.0,4.0,9.0,,0.6387726664543152,0.3612273335456848,,2,krajbich2010
65,0,65,1277.0,1.0,6.0,10.0,,0.4665178656578064,0.5334821343421936,,2,krajbich2010
67,0,67,1357.0,1.0,6.0,8.0,,0.3726635575294495,0.6273364424705505,,2,krajbich2010
69,0,69,928.0,0.0,7.0,3.0,,0.555059552192688,0.4449404776096344,,2,krajbich2010
71,0,71,1167.0,1.0,2.0,6.0,,0.33979475498199463,0.6602052450180054,,2,krajbich2010
73,0,73,3939.0,1.0,9.0,10.0,,0.5463267564773561,0.453673243522644,,2,krajbich2010
75,0,75,4142.0,1.0,1.0,3.0,,0.5667011141777039,0.43329885601997375,,2,krajbich2010
77,0,77,2291.0,0.0,10.0,10.0,,0.7353664636611938,0.2646335363388061,,2,krajbich2010
79,0,79,1713.0,1.0,2.0,2.0,,0.6250980496406555,0.3749019503593445,,2,krajbich2010
81,0,81,2256.0,1.0,5.0,4.0,,0.5885826945304871,0.4114173352718353,,2,krajbich2010
83,0,83,1771.0,0.0,2.0,4.0,,0.4862023591995239,0.5137976408004761,,2,krajbich2010
85,0,85,804.0,0.0,4.0,1.0,,0.6075268983840942,0.39247313141822815,,2,krajbich2010
87,0,87,1042.0,1.0,1.0,5.0,,0.6795251965522766,0.320474773645401,,2,krajbich2010
89,0,89,898.0,1.0,4.0,3.0,,0.407523512840271,0.592476487159729,,2,krajbich2010
92,1,1,1748.0,0.0,9.0,8.0,,0.3946117162704468,0.6053882837295532,,2,krajbich2010
94,1,3,4422.0,0.0,8.0,2.0,,0.3754233121871948,0.6245766878128052,,2,krajbich2010
96,1,5,4395.0,0.0,8.0,8.0,,0.497951865196228,0.5020481348037721,,2,krajbich2010
98,1,7,1770.0,1.0,2.0,7.0,,0.3627118766307831,0.6372881531715393,,2,krajbich2010
100,1,9,1291.0,0.0,10.0,7.0,,0.8466730713844299,0.15332689881324768,,2,krajbich2010
102,1,11,1844.0,0.0,2.0,7.0,,0.8158750534057617,0.1841249167919159,,2,krajbich2010
104,1,13,2767.0,1.0,4.0,9.0,,0.4771007597446442,0.5228992700576782,,2,krajbich2010
106,1,15,1847.0,0.0,1.0,2.0,,0.6238532066345215,0.3761467933654785,,2,krajbich2010
108,1,17,1128.0,0.0,8.0,10.0,,0.77947598695755,0.22052401304244995,,2,krajbich2010
110,1,19,1937.0,1.0,2.0,8.0,,0.4967665970325471,0.5032333731651306,,2,krajbich2010
