subject,trial,rt,choice,item_value_0,item_value_1,gaze_0,gaze_1
0,0,3808.0,0.0,4.0,2.0,0.6637252,0.33627483
0,1,1913.0,0.0,3.0,2.0,0.46657753,0.53342247
0,2,1121.0,1.0,5.0,10.0,0.6733167,0.32668328
0,3,2051.0,1.0,6.0,6.0,0.464375,0.535625
0,4,1655.0,1.0,6.0,7.0,0.4257588,0.57424116
0,5,2504.0,0.0,6.0,2.0,0.52420473,0.4757953
0,6,2002.0,0.0,3.0,3.0,0.4398093,0.5601907
0,7,1426.0,0.0,6.0,5.0,1.0,0.0
0,8,1065.0,1.0,5.0,8.0,0.4473684,0.55263156
0,9,1209.0,0.0,6.0,8.0,0.4297143,0.57028574
0,10,1604.0,1.0,4.0,6.0,1.0,0.0
0,11,1439.0,1.0,2.0,6.0,0.560477,0.439523
0,12,5744.0,1.0,9.0,9.0,0.52698046,0.4730195
0,13,1270.0,1.0,1.0,5.0,0.6521265,0.3478735
0,14,1452.0,0.0,4.0,3.0,0.7007007,0.2992993
0,15,3525.0,1.0,2.0,2.0,0.4890873,0.5109127
0,16,3439.0,0.0,4.0,3.0,0.48841637,0.5115836
0,17,3582.0,0.0,1.0,2.0,0.66677386,0.3332261
0,18,2023.0,0.0,6.0,8.0,0.5912101,0.40878987
0,19,1727.0,1.0,2.0,5.0,0.49613494,0.50386506
0,20,1368.0,0.0,8.0,3.0,0.54603463,0.45396537
0,21,1568.0,0.0,10.0,5.0,0.6347687,0.36523125
0,22,1697.0,1.0,2.0,4.0,0.55440825,0.44559175
0,23,1595.0,1.0,8.0,7.0,0.72554964,0.27445033
0,24,2701.0,0.0,3.0,3.0,0.59933144,0.4006686
0,25,1471.0,1.0,2.0,7.0,0.5627273,0.43727273
0,26,2055.0,1.0,4.0,7.0,0.49972177,0.50027823
0,27,1303.0,1.0,4.0,9.0,0.7566735,0.24332649
0,28,1304.0,1.0,3.0,2.0,0.25233644,0.74766356
0,29,1581.0,0.0,6.0,5.0,0.86601794,0.13398203
0,30,7866.0,0.0,3.0,2.0,0.48557055,0.51442945
0,31,1291.0,0.0,10.0,5.0,0.7407407,0.25925925
0,32,1433.0,0.0,5.0,1.0,0.6103896,0.38961038
0,33,1250.0,0.0,9.0,6.0,0.5926305,0.4073695
0,34,1409.0,1.0,6.0,6.0,0.4252462,0.5747538
0,35,1342.0,1.0,10.0,9.0,0.4358707,0.5641293
0,36,1363.0,1.0,5.0,2.0,0.74920636,0.25079367
0,37,2243.0,0.0,4.0,3.0,0.5673902,0.4326098
0,38,1288.0,1.0,3.0,4.0,0.6754386,0.32456142
0,39,1112.0,0.0,7.0,2.0,0.7869102,0.21308981
0,40,1538.0,1.0,5.0,8.0,0.5669355,0.43306452
0,41,807.0,0.0,10.0,5.0,0.65444016,0.34555984
0,42,1117.0,0.0,7.0,2.0,0.48777506,0.5122249
0,43,4096.0,0.0,4.0,3.0,0.40644294,0.59355706
0,44,1119.0,0.0,6.0,2.0,0.5664488,0.4335512
0,45,1970.0,1.0,4.0,7.0,0.4939759,0.5060241
0,46,1074.0,1.0,3.0,6.0,0.49821427,0.5017857
0,47,1668.0,0.0,9.0,4.0,0.41827327,0.58172673
0,48,2089.0,1.0,1.0,3.0,0.29042485,0.7095751
0,49,2241.0,1.0,2.0,7.0,0.6926045,0.3073955
0,50,937.0,1.0,3.0,7.0,0.54297996,0.45702004
0,51,1251.0,0.0,6.0,8.0,0.4871481,0.5128519
0,52,6836.0,0.0,8.0,6.0,0.5996572,0.40034285
0,53,1125.0,1.0,1.0,3.0,0.5949821,0.4050179
0,54,801.0,0.0,9.0,4.0,0.8217469,0.17825311
0,55,975.0,1.0,1.0,3.0,0.31428573,0.6857143
0,56,1514.0,0.0,6.0,4.0,0.44830248,0.55169755
0,57,682.0,1.0,1.0,4.0,0.49659863,0.50340134
0,58,1323.0,1.0,2.0,6.0,0.55791503,0.44208494
0,59,1009.0,0.0,5.0,3.0,0.47424042,0.5257596
0,60,1341.0,1.0,6.0,9.0,0.46138415,0.5386158
0,61,852.0,1.0,6.0,10.0,0.8228663,0.17713365
0,62,832.0,1.0,2.0,6.0,0.42720765,0.57279235
0,63,1025.0,1.0,4.0,9.0,0.63877267,0.36122733
0,64,1902.0,1.0,4.0,9.0,0.5612745,0.4387255
0,65,1277.0,1.0,6.0,10.0,0.46651787,0.53348213
0,66,755.0,1.0,6.0,10.0,0.0,1.0
