subject,trial,choice,rt,item_value_0,item_value_1,gaze_0,gaze_1,fixation_count,ndt,difficulty,best_chosen,longest_chosen,value_left_minus_right
0,0,0.0,3808.0,4.0,2.0,0.6637251973152161,0.3362748324871063,7,635.0,2.0,True,True,2.0
0,1,0.0,1913.0,3.0,2.0,0.46657752990722656,0.5334224700927734,4,417.0,1.0,True,False,1.0
0,2,1.0,1121.0,5.0,10.0,0.6733167171478271,0.32668328285217285,2,319.0,5.0,True,False,-5.0
0,3,1.0,2051.0,6.0,6.0,0.46437498927116394,0.5356249809265137,4,451.0,0.0,False,True,0.0
0,4,1.0,1655.0,6.0,7.0,0.42575880885124207,0.5742411613464355,3,436.0,1.0,True,True,-1.0
0,5,0.0,2504.0,6.0,2.0,0.5242047309875488,0.47579529881477356,6,335.0,4.0,True,True,4.0
0,6,0.0,2002.0,3.0,3.0,0.43980929255485535,0.5601906776428223,3,324.0,0.0,True,False,0.0
0,7,0.0,1426.0,6.0,5.0,1.0,0.0,1,369.0,1.0,True,True,1.0
0,8,1.0,1065.0,5.0,8.0,0.44736841320991516,0.5526315569877625,2,305.0,3.0,True,True,-3.0
0,9,0.0,1209.0,6.0,8.0,0.42971429228782654,0.5702857375144958,3,334.0,2.0,False,False,-2.0
0,10,1.0,1604.0,4.0,6.0,1.0,0.0,1,248.0,2.0,True,False,-2.0
0,11,1.0,1439.0,2.0,6.0,0.5604770183563232,0.43952301144599915,3,265.0,4.0,True,False,-4.0
0,12,1.0,5744.0,9.0,9.0,0.526980459690094,0.4730195105075836,8,518.0,0.0,False,False,0.0
0,13,1.0,1270.0,1.0,5.0,0.6521264910697937,0.3478735089302063,2,353.0,4.0,True,False,-4.0
0,14,0.0,1452.0,4.0,3.0,0.7007007002830505,0.29929929971694946,3,453.0,1.0,True,True,1.0
0,15,1.0,3525.0,2.0,2.0,0.48908731341362,0.5109127163887024,6,501.0,0.0,False,True,0.0
0,16,0.0,3439.0,4.0,3.0,0.4884163737297058,0.5115836262702942,5,288.0,1.0,True,False,1.0
0,17,0.0,3582.0,1.0,2.0,0.6667738556861877,0.33322611451148987,4,473.0,1.0,False,True,-1.0
0,18,0.0,2023.0,6.0,8.0,0.591210126876831,0.40878987312316895,5,362.0,2.0,False,True,-2.0
0,19,1.0,1727.0,2.0,5.0,0.4961349368095398,0.5038650631904602,3,304.0,3.0,True,True,-3.0
0,20,0.0,1368.0,8.0,3.0,0.5460346341133118,0.45396536588668823,3,271.0,5.0,True,True,5.0
0,21,0.0,1568.0,10.0,5.0,0.6347687244415283,0.3652312457561493,3,314.0,5.0,True,True,5.0
0,22,1.0,1697.0,2.0,4.0,0.5544082522392273,0.4455917477607727,4,438.0,2.0,True,False,-2.0
0,23,1.0,1595.0,8.0,7.0,0.7255496382713318,0.2744503319263458,3,276.0,1.0,False,False,1.0
0,24,0.0,2701.0,3.0,3.0,0.5993314385414124,0.40066859126091003,5,607.0,0.0,True,True,0.0
0,25,1.0,1471.0,2.0,7.0,0.5627272725105286,0.43727272748947144,3,371.0,5.0,True,False,-5.0
0,26,1.0,2055.0,4.0,7.0,0.4997217655181885,0.5002782344818115,4,258.0,3.0,True,True,-3.0
0,27,1.0,1303.0,4.0,9.0,0.7566735148429871,0.24332648515701294,3,329.0,5.0,True,False,-5.0
0,28,1.0,1304.0,3.0,2.0,0.25233644247055054,0.7476635575294495,2,448.0,1.0,False,True,1.0
0,29,0.0,1581.0,6.0,5.0,0.8660179376602173,0.13398203253746033,3,245.0,1.0,True,True,1.0
0,30,0.0,7866.0,3.0,2.0,0.4855705499649048,0.5144294500350952,9,312.0,1.0,True,False,1.0
0,31,0.0,1291.0,10.0,5.0,0.7407407164573669,0.25925925374031067,3,292.0,5.0,True,True,5.0
0,32,0.0,1433.0,5.0,1.0,0.6103895902633667,0.3896103799343109,3,355.0,4.0,True,True,4.0
0,33,0.0,1250.0,9.0,6.0,0.5926305055618286,0.4073694944381714,2,273.0,3.0,True,True,3.0
0,34,1.0,1409.0,6.0,6.0,0.4252462089061737,0.5747538208961487,3,292.0,0.0,False,True,0.0
0,35,1.0,1342.0,10.0,9.0,0.4358707070350647,0.5641292929649353,3,383.0,1.0,False,True,1.0
0,36,1.0,1363.0,5.0,2.0,0.7492063641548157,0.2507936656475067,3,1048.0,3.0,False,False,3.0
0,37,0.0,2243.0,4.0,3.0,0.5673902034759521,0.43260979652404785,5,262.0,1.0,True,True,1.0
0,38,1.0,1288.0,3.0,4.0,0.6754385828971863,0.3245614171028137,2,490.0,1.0,True,False,-1.0
0,39,0.0,1112.0,7.0,2.0,0.7869101762771606,0.21308980882167816,2,455.0,5.0,True,True,5.0
0,40,1.0,1538.0,5.0,8.0,0.5669354796409607,0.4330645203590393,4,298.0,3.0,True,False,-3.0
0,41,0.0,807.0,10.0,5.0,0.65444016456604,0.34555983543395996,2,289.0,5.0,True,True,5.0
0,42,0.0,1117.0,7.0,2.0,0.487775057554245,0.5122249126434326,3,299.0,5.0,True,False,5.0
0,43,0.0,4096.0,4.0,3.0,0.40644294023513794,0.5935570597648621,4,371.0,1.0,True,False,1.0
0,44,0.0,1119.0,6.0,2.0,0.5664488077163696,0.43355119228363037,3,201.0,4.0,True,True,4.0
0,45,1.0,1970.0,4.0,7.0,0.4939759075641632,0.5060241222381592,4,310.0,3.0,True,True,-3.0
0,46,1.0,1074.0,3.0,6.0,0.4982142746448517,0.5017856955528259,2,514.0,3.0,True,True,-3.0
0,47,0.0,1668.0,9.0,4.0,0.41827327013015747,0.5817267298698425,5,475.0,5.0,True,False,5.0
0,48,1.0,2089.0,1.0,3.0,0.2904248535633087,0.7095751166343689,4,512.0,2.0,True,True,-2.0
0,49,1.0,2241.0,2.0,7.0,0.6926044821739197,0.30739548802375793,5,686.0,5.0,True,False,-5.0
0,50,1.0,937.0,3.0,7.0,0.5429799556732178,0.4570200443267822,2,239.0,4.0,True,False,-4.0
0,51,0.0,1251.0,6.0,8.0,0.48714810609817505,0.512851893901825,3,434.0,2.0,False,False,-2.0
0,52,0.0,6836.0,8.0,6.0,0.5996571779251099,0.4003428518772125,7,419.0,2.0,True,True,2.0
0,53,1.0,1125.0,1.0,3.0,0.5949820876121521,0.4050179123878479,2,288.0,2.0,True,False,-2.0
0,54,0.0,801.0,9.0,4.0,0.8217468857765198,0.17825311422348022,2,240.0,5.0,True,True,5.0
0,55,1.0,975.0,1.0,3.0,0.3142857253551483,0.6857143044471741,2,275.0,2.0,True,True,-2.0
0,56,0.0,1514.0,6.0,4.0,0.4483024775981903,0.5516975522041321,3,218.0,2.0,True,False,2.0
0,57,1.0,682.0,1.0,4.0,0.49659863114356995,0.5034013390541077,2,241.0,3.0,True,True,-3.0
0,58,1.0,1323.0,2.0,6.0,0.5579150319099426,0.442084938287735,2,287.0,4.0,True,False,-4.0
0,59,0.0,1009.0,5.0,3.0,0.47424042224884033,0.5257595777511597,2,252.0,2.0,True,False,2.0
0,60,1.0,1341.0,6.0,9.0,0.4613841474056244,0.5386158227920532,3,344.0,3.0,True,True,-3.0
0,61,1.0,852.0,6.0,10.0,0.8228663206100464,0.17713364958763123,2,231.0,4.0,True,False,-4.0
0,62,1.0,832.0,2.0,6.0,0.4272076487541199,0.5727923512458801,2,413.0,4.0,True,True,-4.0
0,63,1.0,1025.0,4.0,9.0,0.6387726664543152,0.3612273335456848,3,308.0,5.0,True,False,-5.0
0,64,1.0,1902.0,4.0,9.0,0.561274528503418,0.4387255012989044,4,270.0,5.0,True,False,-5.0
0,65,1.0,1277.0,6.0,10.0,0.4665178656578064,0.5334821343421936,3,381.0,4.0,True,True,-4.0
0,66,1.0,755.0,6.0,10.0,0.0,1.0,1,516.0,4.0,True,True,-4.0
0,67,1.0,1357.0,6.0,8.0,0.37266355752944946,0.6273364424705505,3,501.0,2.0,True,True,-2.0
0,68,0.0,1427.0,2.0,1.0,0.5004184246063232,0.49958157539367676,3,232.0,1.0,True,True,1.0
0,69,0.0,928.0,7.0,3.0,0.555059552192688,0.4449404776096344,2,256.0,4.0,True,True,4.0
0,70,0.0,1971.0,2.0,4.0,0.548367977142334,0.4516320526599884,3,286.0,2.0,False,True,-2.0
0,71,1.0,1167.0,2.0,6.0,0.33979475498199463,0.6602052450180054,3,290.0,4.0,True,True,-4.0
0,72,1.0,1123.0,4.0,6.0,0.5835654735565186,0.41643452644348145,2,405.0,2.0,True,False,-2.0
0,73,1.0,3939.0,9.0,10.0,0.546326756477356,0.45367324352264404,10,291.0,1.0,True,False,-1.0
0,74,1.0,1220.0,4.0,5.0,0.4598393440246582,0.5401606559753418,3,224.0,1.0,True,True,-1.0
0,75,1.0,4142.0,1.0,3.0,0.5667011141777039,0.43329885601997375,8,274.0,2.0,True,False,-2.0
0,76,1.0,1102.0,4.0,3.0,0.4516128897666931,0.5483871102333069,2,265.0,1.0,False,True,1.0
0,77,0.0,2291.0,10.0,10.0,0.7353664636611938,0.26463353633880615,4,258.0,0.0,True,True,0.0
0,78,1.0,745.0,2.0,6.0,0.554731011390686,0.44526901841163635,2,206.0,4.0,True,False,-4.0
0,79,1.0,1713.0,2.0,2.0,0.6250980496406555,0.3749019503593445,4,438.0,0.0,False,False,0.0
0,80,1.0,974.0,3.0,6.0,0.4320652186870575,0.5679348111152649,3,238.0,3.0,True,True,-3.0
0,81,1.0,2256.0,5.0,4.0,0.5885826945304871,0.4114173352718353,4,224.0,1.0,False,False,1.0
0,82,0.0,834.0,6.0,3.0,0.5151975750923157,0.4848024249076843,2,176.0,3.0,True,True,3.0
0,83,0.0,1771.0,2.0,4.0,0.4862023591995239,0.5137976408004761,4,249.0,2.0,False,False,-2.0
0,84,1.0,864.0,4.0,4.0,0.6265624761581421,0.3734374940395355,3,224.0,0.0,False,False,0.0
0,85,0.0,804.0,4.0,1.0,0.6075268983840942,0.39247313141822815,3,246.0,3.0,True,True,3.0
0,86,1.0,2060.0,5.0,5.0,0.1303873360157013,0.8696126341819763,2,227.0,0.0,False,True,0.0
0,87,1.0,1042.0,1.0,5.0,0.6795251965522766,0.320474773645401,3,368.0,4.0,True,False,-4.0
0,88,1.0,844.0,8.0,10.0,0.33395177125930786,0.6660482287406921,3,305.0,2.0,True,True,-2.0
0,89,1.0,898.0,4.0,3.0,0.407523512840271,0.592476487159729,3,260.0,1.0,False,True,1.0
0,90,0.0,964.0,2.0,2.0,0.3882681429386139,0.6117318272590637,3,248.0,0.0,True,False,0.0
1,0,0.0,1672.0,5.0,2.0,0.4448205828666687,0.5551794171333313,4,195.0,3.0,True,False,3.0
1,1,0.0,1748.0,9.0,8.0,0.3946117162704468,0.6053882837295532,4,486.0,1.0,True,False,1.0
1,2,1.0,2104.0,7.0,10.0,0.25743645429611206,0.7425635457038879,2,255.0,3.0,True,True,-3.0
1,3,0.0,4422.0,8.0,2.0,0.3754233121871948,0.6245766878128052,7,288.0,6.0,True,False,6.0
1,4,0.0,2940.0,0.0,5.0,0.39167916774749756,0.6083208322525024,5,272.0,5.0,False,False,-5.0
1,5,0.0,4395.0,8.0,8.0,0.497951865196228,0.502048134803772,6,489.0,0.0,True,False,0.0
1,6,0.0,2623.0,9.0,3.0,0.4773455262184143,0.5226544737815857,5,438.0,6.0,True,False,6.0
1,7,1.0,1770.0,2.0,7.0,0.3627118766307831,0.6372881531715393,2,295.0,5.0,True,True,-5.0
1,8,0.0,3117.0,7.0,5.0,0.7480647563934326,0.2519352436065674,5,275.0,2.0,True,True,2.0
1,9,0.0,1291.0,10.0,7.0,0.8466730713844299,0.15332689881324768,2,254.0,3.0,True,True,3.0
1,10,1.0,1846.0,2.0,2.0,0.4079195559024811,0.5920804738998413,3,255.0,0.0,False,True,0.0
1,11,0.0,1844.0,2.0,7.0,0.8158750534057617,0.1841249167919159,3,307.0,5.0,False,True,-5.0
1,12,1.0,1692.0,8.0,9.0,0.39821183681488037,0.6017881631851196,2,238.0,1.0,True,True,-1.0
1,13,1.0,2767.0,4.0,9.0,0.47710075974464417,0.5228992700576782,4,256.0,5.0,True,True,-5.0
1,14,1.0,1758.0,2.0,7.0,0.41460147500038147,0.5853985548019409,4,265.0,5.0,True,True,-5.0
1,15,0.0,1847.0,1.0,2.0,0.6238532066345215,0.3761467933654785,3,212.0,1.0,False,True,-1.0
1,16,0.0,1106.0,10.0,3.0,0.5562987923622131,0.44370123744010925,2,209.0,7.0,True,True,7.0
1,17,0.0,1128.0,8.0,10.0,0.77947598695755,0.22052401304244995,2,212.0,2.0,False,True,-2.0
1,18,1.0,2655.0,9.0,3.0,0.3847409188747406,0.615259051322937,2,204.0,6.0,False,True,6.0
1,19,1.0,1937.0,2.0,8.0,0.496766597032547,0.5032333731651306,3,236.0,6.0,True,True,-6.0
1,20,0.0,995.0,8.0,10.0,0.5269761681556702,0.47302383184432983,2,198.0,2.0,False,True,-2.0
1,21,0.0,1443.0,8.0,10.0,0.3683319091796875,0.6316680908203125,3,262.0,2.0,False,False,-2.0
1,22,0.0,1489.0,8.0,1.0,0.4106582999229431,0.5893417000770569,3,213.0,7.0,True,False,7.0
1,23,1.0,1190.0,2.0,9.0,0.3158995807170868,0.6841003894805908,2,234.0,7.0,True,True,-7.0
1,24,0.0,1292.0,3.0,1.0,0.500627338886261,0.499372661113739,3,495.0,2.0,True,True,2.0
1,25,1.0,1428.0,8.0,10.0,0.41304346919059753,0.5869565010070801,3,232.0,2.0,True,True,-2.0
1,26,0.0,1898.0,10.0,7.0,0.6963969469070435,0.30360308289527893,3,205.0,3.0,True,True,3.0
