,subject,trial,choice,rt,item_value_0,item_value_1,item_value_2,gaze_0,gaze_1,gaze_2
0,0,0,1,1782,1,7,3,0.09686411149825784,0.7916376306620209,0.11149825783972124
2,0,2,2,1171,3,1,2,0.5342237061769616,0.0,0.4657762938230384
4,0,4,0,1476,6,1,3,0.34044823906083244,0.4887940234791889,0.17075773745997866
6,0,6,2,1482,3,1,7,0.17863554757630162,0.4829443447037702,0.3384201077199282
8,0,8,2,1393,1,2,7,0.2138590203106332,0.21505376344086025,0.5710872162485066
10,0,10,2,1341,3,1,6,0.1402805611222445,0.5991983967935872,0.2605210420841683
12,0,12,1,1274,1,6,2,0.3612273361227336,0.3891213389121339,0.2496513249651325
14,0,14,1,864,1,3,6,0.0,0.5201612903225806,0.4798387096774194
16,0,16,2,1183,3,1,6,0.2855436081242533,0.2138590203106332,0.5005973715651135
18,0,18,0,1047,3,6,1,0.2568149210903874,0.20086083213773315,0.5423242467718795
20,0,20,0,1077,7,3,1,0.6253918495297806,0.37460815047021945,0.0
22,0,22,0,1854,3,1,2,0.308584686774942,0.16937354988399073,0.5220417633410673
24,0,24,2,1624,2,1,3,0.28826530612244894,0.0,0.7117346938775511
26,0,26,0,1146,6,2,3,0.5626535626535627,0.19533169533169534,0.242014742014742
28,0,28,1,1425,3,2,1,0.29458128078817736,0.3527093596059113,0.3527093596059113
30,0,30,0,1314,6,1,3,0.4258271077908218,0.4044823906083244,0.16969050160085378
32,0,32,1,1350,3,2,1,0.3897058823529412,0.3909313725490196,0.2193627450980392
34,0,34,1,938,3,6,1,0.1941747572815534,0.4190938511326861,0.3867313915857605
36,0,36,0,1834,3,2,1,0.3653710247349824,0.5356890459363958,0.0989399293286219
38,0,38,1,1409,3,2,1,0.2452407614781635,0.42105263157894735,0.3337066069428891
40,0,40,2,1639,3,2,1,0.33358662613981765,0.22720364741641336,0.439209726443769
42,0,42,1,1045,1,7,3,0.40680272108843535,0.21496598639455786,0.3782312925170068
44,0,44,1,892,1,6,3,0.3454231433506045,0.0,0.6545768566493955
46,0,46,2,1438,1,3,6,0.2816593886462882,0.5447598253275109,0.17358078602620086
48,0,48,2,1207,3,1,2,0.4340239912758997,0.3707742639040349,0.19520174482006544
50,0,50,0,1315,7,2,1,0.4883720930232558,0.2925336597307221,0.21909424724602206
52,0,52,2,1246,1,3,2,0.21283422459893048,0.5529411764705883,0.2342245989304813
54,0,54,2,1100,3,1,2,0.2432762836185819,0.2200488997555012,0.5366748166259169
56,0,56,1,1935,1,2,3,0.2756363636363636,0.3767272727272728,0.34763636363636363
58,0,58,2,776,3,1,6,0.0,0.0,1.0
60,0,60,1,1411,1,3,2,0.19227053140096614,0.21159420289855072,0.5961352657004831
62,0,62,2,1182,2,1,3,0.3726635514018692,0.2091121495327103,0.4182242990654206
64,0,64,0,984,7,3,1,0.4863701578192253,0.2568149210903874,0.2568149210903874
66,0,66,2,1297,1,2,3,0.1326644370122631,0.44370122630992204,0.4236343366778149
68,0,68,2,776,1,2,6,0.3508771929824561,0.0,0.6491228070175439
70,0,70,2,719,3,1,2,0.2125,0.25,0.5375
72,0,72,1,821,3,7,1,0.2588454376163873,0.2960893854748604,0.4450651769087523
74,0,74,0,1347,3,1,2,0.4904051172707889,0.3400852878464819,0.1695095948827292
76,0,76,0,1239,3,1,2,0.4017521902377973,0.4242803504380476,0.1739674593241552
78,0,78,2,1521,2,1,3,0.15815815815815815,0.2802802802802803,0.5615615615615616
80,0,80,2,1059,1,3,6,0.0,0.2842857142857143,0.7157142857142857
82,0,82,2,1555,2,1,3,0.17502198768689534,0.5620052770448549,0.26297273526824977
