subject,trial,rt,choice,item_value_0,item_value_1,item_value_2,gaze_0,gaze_1,gaze_2
0,0,1782,1,1,7,3,0.09686411149825784,0.7916376306620209,0.11149825783972125
0,1,1063,1,7,3,2,0.17773788150807898,0.5008976660682226,0.3213644524236984
0,2,1171,2,3,1,2,0.5342237061769616,0.0,0.4657762938230384
0,3,1368,0,3,1,2,0.6266044340723453,0.0,0.3733955659276546
0,4,1476,0,6,1,3,0.34044823906083244,0.4887940234791889,0.17075773745997866
0,5,1394,2,3,1,2,0.2767094017094017,0.2126068376068376,0.5106837606837606
0,6,1482,2,3,1,7,0.17863554757630162,0.4829443447037702,0.3384201077199282
0,7,1419,2,1,3,7,0.18469656992084432,0.3403693931398417,0.47493403693931396
0,8,1393,2,1,2,7,0.21385902031063322,0.21505376344086022,0.5710872162485066
0,9,1450,1,1,2,3,0.10061601642710473,0.7566735112936345,0.14271047227926079
0,10,1341,2,3,1,6,0.1402805611222445,0.5991983967935872,0.2605210420841683
0,11,1189,1,3,7,1,0.2948571428571429,0.27314285714285713,0.432
0,12,1274,1,1,6,2,0.3612273361227336,0.3891213389121339,0.2496513249651325
0,13,1437,1,2,3,1,0.34485738980121,0.13742437337942956,0.5177182368193605
0,14,864,1,1,3,6,0.0,0.5201612903225806,0.4798387096774194
0,15,950,2,1,3,6,0.0,0.6775147928994083,0.3224852071005917
0,16,1183,2,3,1,6,0.2855436081242533,0.21385902031063322,0.5005973715651135
0,17,1408,0,3,1,2,0.5289473684210526,0.2618421052631579,0.20921052631578949
0,18,1047,0,3,6,1,0.2568149210903874,0.20086083213773315,0.5423242467718795
0,19,993,2,2,1,3,0.36033519553072624,0.361731843575419,0.2779329608938548
0,20,1077,0,7,3,1,0.6253918495297806,0.37460815047021945,0.0
0,21,1084,1,1,7,3,0.31719745222929935,0.40382165605095544,0.2789808917197452
0,22,1854,0,3,1,2,0.308584686774942,0.16937354988399073,0.5220417633410673
0,23,1446,2,3,7,6,0.22675521821631878,0.5664136622390892,0.20683111954459202
0,24,1624,2,2,1,3,0.288265306122449,0.0,0.7117346938775511
0,25,1302,2,3,1,7,0.16614420062695925,0.45768025078369906,0.3761755485893417
0,26,1146,0,6,2,3,0.5626535626535627,0.19533169533169534,0.24201474201474202
0,27,1573,2,6,1,7,0.2187784867821331,0.45487693710118504,0.3263445761166819
0,28,1425,1,3,2,1,0.29458128078817736,0.3527093596059113,0.3527093596059113
0,29,1467,1,3,7,1,0.21237993596584845,0.2550693703308431,0.5325506937033084
0,30,1314,0,6,1,3,0.4258271077908218,0.4044823906083244,0.16969050160085378
0,31,961,1,2,7,1,0.18223234624145787,0.40774487471526194,0.41002277904328016
0,32,1350,1,3,2,1,0.3897058823529412,0.3909313725490196,0.2193627450980392
0,33,1547,0,3,2,1,0.4125753660637382,0.45047372954349696,0.13695090439276486
0,34,938,1,3,6,1,0.1941747572815534,0.4190938511326861,0.38673139158576053
0,35,1498,1,1,3,2,0.1726133076181292,0.5573770491803278,0.2700096432015429
0,36,1834,0,3,2,1,0.36537102473498234,0.5356890459363958,0.0989399293286219
0,37,1521,1,2,3,1,0.277504105090312,0.5262725779967159,0.1962233169129721
0,38,1409,1,3,2,1,0.24524076147816348,0.42105263157894735,0.3337066069428891
0,39,2056,0,2,1,3,0.4723969252271139,0.2082459818308875,0.3193570929419986
0,40,1639,2,3,2,1,0.33358662613981765,0.22720364741641338,0.439209726443769
0,41,1336,2,1,2,7,0.11551925320886815,0.30221703617269546,0.5822637106184364
0,42,1045,1,1,7,3,0.40680272108843535,0.21496598639455783,0.3782312925170068
0,43,1460,0,2,1,3,0.42126379137412234,0.21865596790371114,0.3600802407221665
0,44,892,1,1,6,3,0.3454231433506045,0.0,0.6545768566493955
0,45,887,2,2,1,7,0.20623916811091855,0.2755632582322357,0.5181975736568457
0,46,1438,2,1,3,6,0.2816593886462882,0.5447598253275109,0.17358078602620086
0,47,908,2,1,3,2,0.2389558232931727,0.28112449799196787,0.4799196787148594
0,48,1207,2,3,1,2,0.4340239912758997,0.3707742639040349,0.19520174482006544
0,49,1116,1,3,6,1,0.0,0.7216374269005847,0.2783625730994152
0,50,1315,0,7,2,1,0.4883720930232558,0.29253365973072215,0.21909424724602203
0,51,1231,2,1,2,3,0.0,0.720160481444333,0.279839518555667
0,52,1246,2,1,3,2,0.21283422459893048,0.5529411764705883,0.23422459893048128
0,53,1005,2,3,1,2,0.31420373027259685,0.3428981348637016,0.3428981348637016
0,54,1100,2,3,1,2,0.24327628361858192,0.2200488997555012,0.5366748166259169
0,55,779,2,1,3,6,0.42216358839050133,0.0,0.5778364116094987
0,56,1935,1,1,2,3,0.2756363636363636,0.37672727272727274,0.34763636363636363
0,57,946,0,7,3,1,0.7923875432525952,0.0,0.20761245674740483
0,58,776,2,3,1,6,0.0,0.0,1.0
0,59,1458,1,1,3,2,0.16624895572263992,0.6675020885547202,0.16624895572263992
0,60,1411,1,1,3,2,0.19227053140096617,0.21159420289855072,0.5961352657004831
0,61,971,2,3,1,2,0.5829846582984658,0.0,0.41701534170153415
0,62,1182,2,2,1,3,0.3726635514018692,0.2091121495327103,0.4182242990654206
0,63,1401,2,3,1,2,0.27736549165120594,0.24025974025974026,0.48237476808905383
0,64,984,0,7,3,1,0.48637015781922527,0.2568149210903874,0.2568149210903874
0,65,989,0,7,2,3,0.40086206896551724,0.3994252873563218,0.1997126436781609
0,66,1297,2,1,2,3,0.1326644370122631,0.443701226309922,0.4236343366778149
0,67,1312,2,1,2,3,0.24020100502512562,0.24020100502512562,0.5195979899497487
0,68,776,2,1,2,6,0.3508771929824561,0.0,0.6491228070175439
0,69,1297,1,1,3,2,0.24414715719063546,0.5774804905239688,0.17837235228539577
0,70,719,2,3,1,2,0.2125,0.25,0.5375
0,71,1230,1,1,3,2,0.20463320463320464,0.4877734877734878,0.3075933075933076
0,72,821,1,3,7,1,0.25884543761638734,0.29608938547486036,0.4450651769087523
0,73,1521,0,3,2,1,0.21215043394406943,0.3461909353905497,0.4416586306653809
0,74,1347,0,3,1,2,0.4904051172707889,0.3400852878464819,0.1695095948827292
0,75,778,2,1,3,2,0.0,0.5239043824701195,0.4760956175298805
0,76,1239,0,3,1,2,0.40175219023779724,0.42428035043804757,0.1739674593241552
0,77,1031,2,1,3,6,0.0,0.25644329896907214,0.7435567010309279
0,78,1521,2,2,1,3,0.15815815815815815,0.2802802802802803,0.5615615615615616
0,79,1114,1,1,7,3,0.0,0.7411545623836127,0.25884543761638734
0,80,1059,2,1,3,6,0.0,0.2842857142857143,0.7157142857142857
0,81,1501,0,3,1,2,0.456540825285338,0.29850746268656714,0.24495171202809482
0,82,1555,2,2,1,3,0.17502198768689534,0.5620052770448549,0.26297273526824977
0,83,1289,0,3,1,2,0.7861409796893668,0.0,0.21385902031063322
0,84,835,1,6,7,3,0.0,0.5376344086021505,0.46236559139784944
0,85,810,1,3,7,1,0.47607655502392343,0.0,0.5239234449760766
0,86,1089,2,3,1,2,0.5495608531994981,0.17565872020075282,0.27478042659974905
0,87,1101,2,7,1,3,0.306803594351733,0.3324775353016688,0.3607188703465982
0,88,788,2,1,3,7,0.0,0.22160148975791433,0.7783985102420856
0,89,706,2,1,2,3,0.18808777429467086,0.0,0.8119122257053292
0,90,748,2,1,3,7,0.34868421052631576,0.17324561403508773,0.4780701754385965
0,91,1246,1,1,3,2,0.41442542787286063,0.36552567237163813,0.2200488997555012
0,92,974,2,1,3,2,0.03048780487804878,0.42378048780487804,0.5457317073170732
0,93,988,2,1,3,2,0.3323170731707317,0.1524390243902439,0.5152439024390244
0,94,1115,0,7,2,3,0.3751568381430364,0.24968632371392724,0.3751568381430364
0,95,1164,2,2,1,3,0.4421052631578947,0.2327485380116959,0.32514619883040935
0,96,1633,0,3,1,2,0.44154589371980674,0.13526570048309178,0.42318840579710143
0,97,1328,0,3,2,1,0.4891732283464567,0.35334645669291337,0.15748031496062992
0,98,779,2,3,1,7,0.28878281622911695,0.0,0.711217183770883
