"","trial","rating1","rating2","rating3","roirating","rt","chosenrating","subject","eventduration","fix_num","choice1","choice2","choice3","leftroi","middleroi","rightroi","num_fixations","rev_fix_num"
"1",1,1,7,3,7,1782,7,1,318,1,0,1,0,0,1,0,4,4
"2",1,1,7,3,3,1782,7,1,160,2,0,1,0,0,0,1,4,3
"3",1,1,7,3,1,1782,7,1,139,3,0,1,0,1,0,0,4,2
"4",1,1,7,3,7,1782,7,1,818,4,0,1,0,0,1,0,4,1
"5",2,7,3,2,3,1063,3,1,119,1,0,1,0,0,1,0,4,4
"6",2,7,3,2,2,1063,3,1,179,2,0,1,0,0,0,1,4,3
"7",2,7,3,2,7,1063,3,1,99,3,0,1,0,1,0,0,4,2
"8",2,7,3,2,3,1063,3,1,160,4,0,1,0,0,1,0,4,1
"9",3,3,1,2,3,1171,2,1,200,1,0,0,1,1,0,0,3,3
"10",3,3,1,2,2,1171,2,1,279,2,0,0,1,0,0,1,3,2
"11",3,3,1,2,3,1171,2,1,120,3,0,0,1,1,0,0,3,1
"12",4,3,1,2,2,1368,3,1,120,1,1,0,0,0,0,1,4,4
"13",4,3,1,2,3,1368,3,1,298,2,1,0,0,1,0,0,4,3
"14",4,3,1,2,2,1368,3,1,200,3,1,0,0,0,0,1,4,2
"15",4,3,1,2,3,1368,3,1,239,4,1,0,0,1,0,0,4,1
"16",5,6,1,3,1,1476,6,1,298,1,1,0,0,0,1,0,4,4
"17",5,6,1,3,3,1476,6,1,160,2,1,0,0,0,0,1,4,3
"18",5,6,1,3,6,1476,6,1,319,3,1,0,0,1,0,0,4,2
"19",5,6,1,3,1,1476,6,1,160,4,1,0,0,0,1,0,4,1
"20",6,3,1,2,2,1394,2,1,179,1,0,0,1,0,0,1,4,4
"21",6,3,1,2,3,1394,2,1,259,2,0,0,1,1,0,0,4,3
"22",6,3,1,2,1,1394,2,1,199,3,0,0,1,0,1,0,4,2
"23",6,3,1,2,2,1394,2,1,299,4,0,0,1,0,0,1,4,1
