subject,trial,rt,choice,item_value_0,item_value_1,gaze_0,gaze_1
0,0,1962.0,0,1.0,10.0,0.5889830508474576,0.4110169491525424
0,1,2899.0,0,4.0,1.0,0.5063913470993117,0.4936086529006883
0,2,1631.0,1,1.0,1.0,0.3760330578512397,0.6239669421487604
0,3,3203.0,0,7.0,4.0,0.19096209912536444,0.8090379008746356
0,4,1181.0,1,4.0,4.0,0.0,1.0
0,5,1513.0,1,4.0,7.0,0.5298804780876494,0.4701195219123506
0,6,1188.0,0,10.0,4.0,0.41156462585034015,0.5884353741496599
0,7,1515.0,0,7.0,7.0,0.42134831460674155,0.5786516853932584
0,8,1853.0,1,4.0,1.0,0.4017857142857143,0.5982142857142857
0,9,1819.0,1,7.0,7.0,0.46062992125984253,0.5393700787401575
0,10,987.0,0,7.0,1.0,0.0,1.0
0,11,1125.0,1,10.0,7.0,0.0,1.0
0,12,1345.0,1,4.0,7.0,0.6498422712933754,0.3501577287066246
0,13,2019.0,0,7.0,10.0,0.6661631419939577,0.3338368580060423
0,14,873.0,1,1.0,10.0,0.0,1.0
0,15,1205.0,1,1.0,7.0,0.0,1.0
0,16,1085.0,1,1.0,7.0,0.0,1.0
0,17,1133.0,0,10.0,1.0,0.40229885057471265,0.5977011494252874
0,18,981.0,1,1.0,4.0,0.0,1.0
0,19,908.0,1,4.0,10.0,0.0,1.0
0,20,1727.0,1,1.0,4.0,0.3938223938223938,0.6061776061776062
0,21,1365.0,0,1.0,1.0,0.32460732984293195,0.675392670157068
0,22,1933.0,0,4.0,4.0,0.2596964586846543,0.7403035413153457
0,23,1468.0,0,7.0,4.0,0.3803827751196172,0.6196172248803827
0,24,1109.0,1,4.0,7.0,0.0,1.0
0,25,1589.0,1,4.0,10.0,0.35036496350364965,0.6496350364963503
0,26,1109.0,0,4.0,1.0,1.0,0.0
0,27,2411.0,1,10.0,7.0,0.5331491712707183,0.46685082872928174
0,28,1891.0,1,1.0,7.0,0.2517361111111111,0.7482638888888888
0,29,1333.0,1,4.0,7.0,0.20610687022900764,0.7938931297709924
0,30,1239.0,0,10.0,1.0,0.36507936507936506,0.6349206349206349
0,31,1801.0,1,1.0,1.0,0.5252525252525253,0.47474747474747475
0,32,1403.0,0,7.0,4.0,0.3919308357348703,0.6080691642651297
0,33,2121.0,1,1.0,4.0,0.4297385620915033,0.5702614379084967
0,34,1639.0,0,1.0,1.0,0.5010224948875256,0.49897750511247446
0,35,999.0,1,1.0,7.0,0.0,1.0
0,36,1009.0,1,1.0,7.0,0.0,1.0
0,37,1783.0,1,4.0,1.0,0.3602058319039451,0.6397941680960549
0,38,2327.0,0,4.0,1.0,0.6058823529411764,0.3941176470588235
0,39,1625.0,0,7.0,1.0,0.565922920892495,0.4340770791075051
0,40,1629.0,0,1.0,1.0,0.40792540792540793,0.5920745920745921
0,41,1259.0,1,1.0,7.0,0.0,1.0
0,42,1109.0,1,4.0,10.0,0.0,1.0
0,43,1127.0,1,4.0,4.0,0.0,1.0
0,44,1311.0,1,7.0,7.0,0.0,1.0
0,45,2849.0,1,4.0,1.0,0.35943775100401604,0.6405622489959839
0,46,1737.0,1,4.0,7.0,0.38571428571428573,0.6142857142857143
0,47,1765.0,1,10.0,4.0,0.5734597156398105,0.4265402843601896
0,48,1079.0,1,1.0,7.0,0.0,1.0
0,49,1253.0,1,7.0,10.0,0.0,1.0
0,50,3189.0,0,4.0,4.0,0.3106796116504854,0.6893203883495146
0,51,953.0,1,7.0,7.0,0.0,1.0
