subject,trial,rt,choice,item_value_0,item_value_1,gaze_0,gaze_1
0,0,1962.0,0,1.0,10.0,0.6371571072319202,0.3628428927680798
0,1,2899.0,0,4.0,1.0,0.5731292517006803,0.4268707482993197
0,2,1631.0,1,1.0,1.0,0.4802065404475043,0.5197934595524957
0,3,3203.0,0,7.0,4.0,0.6007194244604317,0.39928057553956836
0,4,1181.0,1,4.0,4.0,0.3064516129032258,0.6935483870967742
0,5,1513.0,1,4.0,7.0,0.6810810810810811,0.31891891891891894
0,6,1188.0,0,10.0,4.0,0.5728395061728395,0.4271604938271605
0,7,1515.0,0,7.0,7.0,0.6321428571428571,0.3678571428571429
0,8,1853.0,1,4.0,1.0,0.5193687230989957,0.4806312769010043
0,9,1819.0,1,7.0,7.0,0.5823170731707317,0.4176829268292683
0,10,987.0,0,7.0,1.0,0.5169230769230769,0.48307692307692307
0,11,1125.0,1,10.0,7.0,0.3359173126614987,0.6640826873385013
0,12,1345.0,1,4.0,7.0,0.44017094017094016,0.5598290598290598
0,13,2019.0,0,7.0,10.0,0.7304878048780488,0.26951219512195124
0,14,873.0,1,1.0,10.0,0.3951048951048951,0.6048951048951049
0,15,1205.0,1,1.0,7.0,0.3616557734204793,0.6383442265795207
0,16,1085.0,1,1.0,7.0,0.32231404958677684,0.6776859504132231
0,17,1133.0,0,10.0,1.0,0.5851063829787234,0.4148936170212766
0,18,981.0,1,1.0,4.0,0.31044776119402984,0.6895522388059702
0,19,908.0,1,4.0,10.0,0.3229166666666667,0.6770833333333334
0,20,1727.0,1,1.0,4.0,0.5031645569620253,0.49683544303797467
0,21,1365.0,0,1.0,1.0,0.47878787878787876,0.5212121212121212
0,22,1933.0,0,4.0,4.0,0.4276401564537158,0.5723598435462842
0,23,1468.0,0,7.0,4.0,0.5057251908396947,0.49427480916030536
0,24,1109.0,1,4.0,7.0,0.3251231527093596,0.6748768472906403
0,25,1589.0,1,4.0,10.0,0.5535117056856187,0.44648829431438125
0,26,1109.0,0,4.0,1.0,0.5845272206303725,0.4154727793696275
0,27,2411.0,1,10.0,7.0,0.6787072243346007,0.32129277566539927
0,28,1891.0,1,1.0,7.0,0.39804469273743015,0.6019553072625698
0,29,1333.0,1,4.0,7.0,0.36065573770491804,0.639344262295082
0,30,1239.0,0,10.0,1.0,0.5370370370370371,0.46296296296296297
0,31,1801.0,1,1.0,1.0,0.5901162790697675,0.40988372093023256
0,32,1403.0,0,7.0,4.0,0.5830039525691699,0.41699604743083
0,33,2121.0,1,1.0,4.0,0.5395778364116095,0.4604221635883905
0,34,1639.0,0,1.0,1.0,0.6133122028526149,0.3866877971473851
0,35,999.0,1,1.0,7.0,0.5707317073170731,0.4292682926829268
0,36,1009.0,1,1.0,7.0,0.2696629213483146,0.7303370786516854
0,37,1783.0,1,4.0,1.0,0.4465875370919881,0.5534124629080118
0,38,2327.0,0,4.0,1.0,0.6581632653061225,0.34183673469387754
0,39,1625.0,0,7.0,1.0,0.6576,0.3424
0,40,1629.0,0,1.0,1.0,0.5942492012779552,0.4057507987220447
0,41,1259.0,1,1.0,7.0,0.2,0.8
