,subject,rt,rt,rt,rt,rt,rt,rt,rt,best_chosen,gaze_influence,dataset
,,mean,std,min,max,se,q1,q3,iqr,mean,,
0,0,1762.5384615384614,1221.1128891634671,682.0,7866.0,128.71660033150997,1107.0,1970.5,863.5,0.8571428571428571,0.04057934478691605,krajbich2010
1,1,1672.050505050505,868.9639293897952,667.0,4826.0,87.77861243971893,1108.5,1862.0,753.5,0.7373737373737373,0.20238962636418784,krajbich2010
2,2,4477.18,3088.070398744174,943.0,15825.0,310.36275269204884,2146.25,5728.5,3582.25,0.85,0.03218073300049417,krajbich2010
3,3,1882.6136363636363,541.9732136918799,1003.0,4742.0,58.10562759453872,1519.5,2180.25,660.75,0.6931818181818182,0.07157652270904302,krajbich2010
4,4,1727.37,1007.2488436826324,673.0,5891.0,101.23231772771604,1160.5,1868.0,707.5,0.84,0.1417866214586081,krajbich2010
5,5,1270.49,380.41178990667464,756.0,3768.0,38.23282342266507,1039.25,1399.25,360.0,0.77,-0.07418687605828447,krajbich2010
6,6,3268.08,2042.3395735283593,857.0,13456.0,205.26285029963734,1777.75,4336.25,2558.5,0.79,0.03851811448822,krajbich2010
7,7,1799.59,562.4882237878406,1020.0,3612.0,56.53219355447661,1366.0,2098.25,732.25,0.85,0.32450042242647736,krajbich2010
8,8,1410.58,537.7222178783392,759.0,4295.0,54.043116307278396,1046.0,1553.25,507.25,0.87,0.17125240056802882,krajbich2010
9,9,2040.2,935.2454757976647,653.0,4746.0,93.99570697267472,1285.75,2544.0,1258.25,0.82,0.3136289563548328,krajbich2010
10,10,2478.989898989899,2011.1732165501503,955.0,13278.0,203.15917422333888,1419.5,2546.0,1126.5,0.8585858585858586,0.07040514534837675,krajbich2010
11,11,3215.939393939394,3201.6437439217952,881.0,18102.0,323.41485746722685,1514.0,3230.0,1716.0,0.8484848484848485,0.04588768585042719,krajbich2010
12,12,1759.876712328767,1196.144009578055,774.0,7261.0,140.96692340805157,1107.0,1867.0,760.0,0.8082191780821918,0.04257367959119726,krajbich2010
13,13,3184.57,2011.5798231986716,831.0,9073.0,202.17137907271052,1549.5,4236.75,2687.25,0.64,-0.10515880593879182,krajbich2010
14,14,1609.2577319587629,705.1545897389506,653.0,4378.0,71.96953894341833,1164.0,1833.0,669.0,0.8762886597938144,0.091819609740558,krajbich2010
15,15,4243.43,3248.9662825428027,1172.0,17782.0,326.5333974457663,2117.0,5066.75,2949.75,0.87,0.05557262573068418,krajbich2010
16,16,3795.18,1596.5305470300277,1546.0,8326.0,160.4573572981654,2501.5,4780.0,2278.5,0.82,0.11242458710489665,krajbich2010
17,17,3254.5050505050503,3439.749069934594,804.0,23572.0,347.46712756155307,1354.0,3594.5,2240.5,0.8787878787878788,0.00351521691220792,krajbich2010
18,18,2570.4646464646466,1425.2431393716245,874.0,10804.0,143.97129838418277,1612.0,3066.0,1454.0,0.8585858585858586,0.1391283432019219,krajbich2010
19,19,1506.1224489795918,978.7528847957708,679.0,6454.0,141.27081037674026,930.0,1680.0,750.0,0.7959183673469388,0.41874486726260823,krajbich2010
20,20,2358.45,874.5983006500755,1159.0,5760.0,87.90043653147714,1740.0,2811.25,1071.25,0.91,0.05588893065817513,krajbich2010
21,21,1432.6,595.066382851527,791.0,4642.0,59.80642173553006,1075.0,1509.75,434.75,0.88,0.32429029685786936,krajbich2010
22,22,1217.37,312.20210297177687,577.0,2234.0,31.37749194900862,980.75,1387.25,406.5,0.84,0.24345675889377316,krajbich2010
23,23,1947.67,591.6170054182011,993.0,4151.0,59.45974625957062,1535.75,2194.5,658.75,0.77,0.4855599819731439,krajbich2010
24,24,1578.96,516.1606517354844,859.0,3690.0,51.876097374300215,1226.25,1725.0,498.75,0.79,0.308846055528329,krajbich2010
25,25,2051.42,1408.7019995726562,836.0,7963.0,141.57987800017858,1162.75,2318.5,1155.75,0.82,0.09925713911790324,krajbich2010
26,26,957.64,328.41344430458383,524.0,2395.0,33.00679305656318,705.0,1102.5,397.5,0.73,0.1570248607694285,krajbich2010
27,27,2438.68,1244.4017267747581,1222.0,7803.0,125.0670792782494,1670.75,2598.5,927.75,0.62,0.7234032357422651,krajbich2010
28,28,3244.38,2544.4940352848143,942.0,14560.0,255.73127261627465,1652.5,3882.75,2230.25,0.82,0.2164260939350916,krajbich2010
29,29,2372.295918367347,1342.5989053308456,584.0,7391.0,136.3202649840269,1408.5,2763.25,1354.75,0.8775510204081632,0.3967296785586445,krajbich2010
30,30,1744.24,926.209124550174,646.0,5035.0,93.08751950110543,990.25,2367.75,1377.5,0.78,0.32722120046438297,krajbich2010
31,31,2540.72,1448.9042693014608,897.0,8358.0,145.6203581338485,1378.5,2949.25,1570.75,0.89,0.21557888675358627,krajbich2010
32,32,1310.05,378.2801706407567,690.0,2883.0,38.018587625666804,1069.5,1473.0,403.5,0.83,0.14790132071623868,krajbich2010
33,33,2015.85,789.9240517290251,878.0,4062.0,79.39035431704443,1441.75,2305.25,863.5,0.83,0.1690462370828965,krajbich2010
34,34,1132.7,430.1235055190543,566.0,2990.0,43.2290388278504,861.0,1305.25,444.25,0.81,0.4360535566977536,krajbich2010
35,35,1490.15,738.1865668650438,613.0,5699.0,74.1905414415742,1062.75,1693.25,630.5,0.83,0.0496889970368935,krajbich2010
