,mean,sd,hpd0.95_lower,hpd0.95_upper,effective_n,gelman_rubin
1|dataset[folke2016],-7.139898975305185,6.326962090279864,-20.081715843630384,3.8521198668550736,13079,1.0001407355503251
1|dataset[krajbich2010],2.886227726457579,5.095184583185581,-6.848846503236437,13.687078951027322,7702,1.0002022275523903
1|dataset[krajbich2011],-2.3572012119369776,5.030959815003009,-12.910751773448334,7.720975819032072,7602,1.0002229436085177
1|dataset[tavares2017],6.81406433753778,5.673798866107294,-3.1563376932034117,18.3704974803324,7856,1.0000105995342987
1|dataset_sd,8.216208222355771,4.491867222379714,0.01425486104361022,16.510914071762624,10595,1.000037316324361
Intercept,77.45309736957628,4.88706946837705,67.50463785255839,87.52882094902397,6288,1.0002493969965538
best_chosen_sd,8.791151961992306,0.5929307609593801,7.6510018059203695,9.94914615656963,27572,0.9999778169720669
mean_rt,-0.00019448320694747244,0.0014924484643186904,-0.0030788610301302126,0.00286868888545084,2490,1.0001497146985645
mean_rt|dataset[folke2016],-0.0007660207304146369,0.0016075427078435793,-0.004433845009488865,0.0022021586855643506,3159,1.0000922793018856
mean_rt|dataset[krajbich2010],0.0006132691564000628,0.0015701028100704526,-0.0022879714425326414,0.004229516805088103,3290,1.0001246472898562
mean_rt|dataset[krajbich2011],-0.001013271964087765,0.0016266833038748726,-0.004509295355753191,0.001882174530585017,2483,1.0000861798191045
mean_rt|dataset[tavares2017],0.0010558077670897261,0.0019492805891438095,-0.002346375218586059,0.0054811108627589,4887,1.000366617576506
mean_rt|dataset_sd,0.00206638627006916,0.0017651579478830267,3.751879747915477e-08,0.005429325026764904,2108,1.0006033621773316
