,mean,sd,hpd0.95_lower,hpd0.95_upper,effective_n,gelman_rubin
1|dataset[folke2016],2129.4374530827254,912.1356669330727,324.06633208488404,3931.0169681265265,526,1.0016632138304613
1|dataset[krajbich2010],-457.66099915095276,761.9997406171511,-1999.313913245573,1046.5885914963264,376,1.0020023060678547
1|dataset[krajbich2011],-407.5296438020647,770.9396078744394,-1949.5906370579437,1146.8453122340377,399,1.0018974927346465
1|dataset[tavares2017],-926.8337139392736,783.657684212012,-2470.851413090663,658.4303446683414,415,1.0016991771077692
1|dataset_sd,1582.5892709443815,627.7781334204283,546.1120157270807,2927.8598482270686,2756,1.0004793796388132
Intercept,2870.957388855997,743.635586765129,1416.9494035164334,4379.078814904963,343,1.002046854049512
gaze_influence,-1.2224892734471824,16.110247327524345,-32.808685476912274,33.39797736584536,8439,1.0000733464387879
gaze_influence|dataset[folke2016],11.429369840026652,19.97595605269904,-22.974755566897922,57.03422330270821,11553,0.999978729467701
gaze_influence|dataset[krajbich2010],-10.23777668257142,17.066176488453547,-48.516122828400285,20.310349362313435,9547,1.0000533270184218
gaze_influence|dataset[krajbich2011],1.5210078142375638,16.630512572435805,-33.18417708423937,36.9113477073763,11620,1.0000325844499462
gaze_influence|dataset[tavares2017],-2.328866229546693,18.527823994722034,-44.283121502168754,34.36899085879488,14510,1.0000914299962764
gaze_influence|dataset_sd,22.34592971893934,20.239509781274514,0.00869902471974771,61.804907092610776,8310,1.0001247268344473
mean_rt_sd,1070.7956399723682,73.06700650809455,932.9985401340688,1217.1414707839094,35102,0.9999891728052158
