,mean,sd,hpd0.95_lower,hpd0.95_upper,effective_n,gelman_rubin
1|dataset[folke2016],2.050668190050411,3.6498729584882974,-4.469679189646297,10.35580750352492,4307,0.9999750038538507
1|dataset[krajbich2010],-2.7512081606886603,3.026500514992391,-9.441233094058997,2.6812467183546174,8927,0.999975021125232
1|dataset[krajbich2011],-0.23768210125741748,3.017548478255247,-6.488530713616362,6.321585465723023,9933,0.9999752398959875
1|dataset[tavares2017],1.9229795562889012,3.218701940445837,-3.8670800793873092,9.316344508121249,9553,1.0001014608298269
Intercept,86.70561947290066,2.8385964277468316,81.50860133567294,93.26032219118194,7520,0.9999767489371039
best_chosen_sd,6.390069349314187,0.43914171486292863,5.555723708681868,7.254336144837666,20961,0.999990377820627
gaze_influence|dataset[folke2016],-0.3646209402388744,0.20832524749475875,-0.8204993331091568,0.02485678900290652,1713,1.0001865327339086
gaze_influence|dataset[krajbich2010],0.21197022186099107,0.19745707016611733,-0.18298513165731736,0.6118379923691684,2111,1.0002470720027008
gaze_influence|dataset[krajbich2011],-0.256007909144991,0.1992185841475516,-0.680658594374561,0.12772166676982533,2124,1.0001726847444967
gaze_influence|dataset[tavares2017],0.1991018658500114,0.2083569787610666,-0.22988386158294735,0.618951217582689,2610,0.9999959275049598
1|dataset_sd,4.344135066171586,3.026481697101747,0.0006000417494308893,10.202660249883088,7028,1.0001365298152203
gaze_influence|dataset_sd,0.3999030158923018,0.18028253592308044,0.13297485391695796,0.7686549426186192,1171,1.0001051117153423
gaze_influence,-0.3328742547680267,0.19346310732599484,-0.7064535383500657,0.0778582200230284,1936,1.0002261622580588
