,mean,sd,hpd0.95_lower,hpd0.95_upper,effective_n,gelman_rubin
Intercept,3037.929950884278,758.2204270564049,1601.981317131998,4499.521924854026,232,1.0082752575160678
1|dataset[folke2016],2264.64690435238,799.5464470124483,737.7563541167453,3861.207744734143,283,1.007434785894042
1|dataset[krajbich2010],-777.4763749576713,769.7879051614433,-2254.793138355996,720.1038811219701,248,1.007363414821826
1|dataset[krajbich2011],-493.2904386045722,774.2884957738322,-2021.3897461763743,993.0017915119673,254,1.0075401701035325
1|dataset[tavares2017],-1040.409976910476,803.163384222098,-2599.836384757111,532.5980582733696,266,1.0071206616178414
mean_rt_sd,1074.442713694447,73.07288759629247,938.4656889955596,1222.8700431986956,21049,0.9999948126246894
dWAIC|dataset[folke2016],-2.6770627509911438,5.819375520134025,-16.262160015245342,7.680159338927651,230,1.0053569662733315
dWAIC|dataset[krajbich2010],3.019026346524749,6.397235276003502,-7.945494405863981,18.199531624857695,8330,1.0002499419156732
dWAIC|dataset[krajbich2011],0.0949741465135129,5.1431174958103805,-10.053956887497081,12.423939323987662,247,1.0044789731834076
dWAIC|dataset[tavares2017],-1.1832889885234064,4.857984456433265,-11.601799259919355,9.111268458790322,184,1.0064916790556875
dWAIC|dataset_sd,5.971150046671652,5.736510615492271,0.0008077007627137129,18.15698212628125,372,1.0033830665934973
dWAIC,1.9571192442751573,4.885858221447225,-8.052639827094543,12.122516293718572,181,1.0067538624801018
1|dataset_sd,1549.7190549318727,499.5655298788979,740.8523588038735,2590.9587878119187,306,1.0021069026738851
