,mean,sd,hpd0.95_lower,hpd0.95_upper,effective_n,gelman_rubin
1|dataset[folke2016],-3.0377261507800166,3.692019388468933,-10.93085090657861,3.819971154480812,15732,0.9999898243418079
1|dataset[krajbich2010],1.4929971106592022,3.2589282005418583,-5.091004161689857,8.290050502259547,11386,1.0000248289978115
1|dataset[krajbich2011],-2.438620669976027,3.3493712895169243,-9.703574348432591,4.007553014578705,12798,1.0000045422109
1|dataset[tavares2017],4.928456027494651,3.8635942369553713,-1.6952142940311772,13.199759679165954,12516,0.9999994585485052
1|dataset_sd,5.4161933979110986,2.9857047925391655,0.23900173892991317,11.240824048642578,11559,0.9999766022281622
Intercept,81.19396188081599,3.156817563143943,74.83667366383717,87.89915117243541,10785,1.000002627511944
best_chosen_sd,7.379100756672358,0.5094921638904826,6.441271566362574,8.433300336842366,33344,0.9999870387006424
dWAIC,0.10359406678753189,0.056698042256087655,-0.013960113408437993,0.21617726057978884,5169,1.000143985824062
dWAIC|dataset[folke2016],0.08329978737886476,0.06300488167849673,-0.03768290325732166,0.21342158237958692,7895,1.0001770464339552
dWAIC|dataset[krajbich2010],0.02366892030721896,0.07403792964666221,-0.12239089016290237,0.17496657408761232,12197,1.0000273318200719
dWAIC|dataset[krajbich2011],0.07706875673870553,0.0626109489366113,-0.04333641112786856,0.20714769181675405,8186,1.0001944873355788
dWAIC|dataset[tavares2017],-0.10139707515672494,0.057437861790209224,-0.21367700501312606,0.017578379809267578,4940,1.0001613577627169
dWAIC|dataset_sd,0.11344537499789709,0.046964005405507436,0.03981917615551092,0.20623444038692712,11103,0.9999984399393408
