,mean,sd,hpd0.95_lower,hpd0.95_upper,effective_n,gelman_rubin
1|dataset[folke2016],2.5424628906424425,3.5541452663889186,-3.6128439986176373,10.50431142340098,12819,1.0002726190697395
1|dataset[krajbich2010],-1.7997563711900988,3.149040232133155,-8.76238875249639,3.8240605739520928,10559,1.0002442954512485
1|dataset[krajbich2011],1.137360711463242,3.121077721393629,-4.901179544001877,7.921760553820987,12084,1.0003483618206999
1|dataset[tavares2017],-2.9664227712046136,3.61304204744685,-10.669983444124552,3.2687696312283294,10568,1.000281463702522
1|dataset_sd,4.5054074844902035,3.281119633680269,0.0020457471905309913,10.768861279483254,6860,0.9999898035477942
Intercept,11.21482935627719,3.002903166777682,5.211482385151753,17.468055324362716,10611,1.0003480862274339
dWAIC,-0.20906844492748058,0.1107453245855879,-0.42244072372649205,0.013970122085901744,5325,1.000556888397843
dWAIC|dataset[folke2016],-0.08505209790409343,0.11562658640852856,-0.3185776784186065,0.1367884214379505,5808,1.0004590495756862
dWAIC|dataset[krajbich2010],-0.6200174994942648,0.1349300270923893,-0.8769551649789462,-0.35179249188484923,6893,1.0003244079730755
dWAIC|dataset[krajbich2011],-0.12486357784921748,0.11479230859828732,-0.3576707156288769,0.0942939693223267,5803,1.000544546831689
dWAIC|dataset[tavares2017],0.1375579216742786,0.11115160860636923,-0.08907413595918777,0.34878701575590654,5348,1.0005622344994525
dWAIC|dataset_sd,0.2801503566022767,0.07090600351961536,0.1538491201394913,0.421555121153507,13750,1.0001221789145724
gaze_influence_sd,7.408960344112894,0.510608827852755,6.4166831954823556,8.396105336927537,33022,0.9999773520525673
