,mean,sd,hpd0.95_lower,hpd0.95_upper,effective_n,gelman_rubin
is_pred|dataset[folke2016],0.0057862626894048174,0.035829746941696286,-0.05896348977419197,0.08281554460608075,548,1.002607332225172
is_pred|dataset[krajbich2010],-0.009886324972984813,0.0360813841074089,-0.08436951526632289,0.05260377997199284,429,1.00411814967917
is_pred|dataset[krajbich2011],-0.0005416942835301715,0.03560231929000602,-0.06562847879983144,0.07063649733942774,396,1.0032418756716452
is_pred|dataset[tavares2017],-0.0008063326740735649,0.03554582613276709,-0.06716547756277044,0.07442726770903978,454,1.0029782099504498
is_pred|dataset_sd,0.035896460969894586,0.04340801090398728,5.817650006229401e-07,0.11289735802686834,390,1.0014241794556822
gaze_influence_sd,0.14338835647507095,0.005332870663177697,0.13408860565263456,0.15297652270441997,17016,1.0000816481384727
is_pred,-0.022050547131096023,0.03545541016054401,-0.08253339460048048,0.04212141025862259,431,1.0030636207326509
Intercept,0.2400411565489866,0.04794580151670336,0.14491922052161532,0.34085504726661314,765,1.004340280331706
1|dataset[folke2016],0.08138983916122801,0.05159697838765027,-0.01977553671628977,0.1861414016524978,813,1.0041816010484703
1|dataset[krajbich2010],-0.03996399800313411,0.049366838708577374,-0.14550245138177523,0.05639597276659507,855,1.0034161106840573
1|dataset[krajbich2011],0.003645837366789701,0.049217040025453816,-0.09820974339692001,0.10378540155973744,825,1.004046389664605
1|dataset[tavares2017],-0.03449184380844851,0.05013934071134112,-0.1386139409173837,0.06561953423016123,850,1.0038594055134924
1|dataset_sd,0.08069654933627103,0.040011519183683744,0.02181457900645344,0.16596718033115657,1623,1.0005855174283718
