,mean,sd,hpd0.95_lower,hpd0.95_upper,effective_n,gelman_rubin
is_pred|dataset[folke2016],6.183238083714238,193.42464292515072,-418.51777432407795,439.78719925401947,2793,1.0007646442182778
is_pred|dataset[krajbich2010],-13.927032252735987,181.6916622791432,-425.65775332698854,376.94072260411525,2220,1.0012465931456793
is_pred|dataset[krajbich2011],-15.680129234715059,189.89156134979697,-454.57495993282305,390.9258568494024,2408,1.0004262720792336
is_pred|dataset[tavares2017],9.238693209080012,194.3317106990355,-414.88233076568724,443.86955735798364,2276,1.0008265703957329
is_pred|dataset_sd,226.66076142815518,251.76699182442655,0.01674087945464513,686.5965801228643,1047,1.0029637795047337
is_pred,-9.132201547397093,183.32131283233267,-409.7260872662768,344.45249454264393,1592,1.0020395532258808
Intercept,2944.9003165148306,743.8909965005737,1488.7466335163667,4416.81265831678,1052,1.0029271276402438
1|dataset[folke2016],2370.965658225778,751.9824561530589,948.8229344133478,3931.385638562109,1118,1.002462455704301
1|dataset[krajbich2010],-781.1870406565802,748.8696862947751,-2221.5144230315464,752.6207019938229,1086,1.0026343940136186
1|dataset[krajbich2011],-521.260399239781,750.0088807291705,-2026.2877895012969,944.0508056725783,1107,1.0025773705536565
1|dataset[tavares2017],-1044.7073002536029,753.8424202983958,-2516.3865252707797,457.64355835450334,1111,1.0023683285237621
mean_rt_sd,1033.2542673217058,48.512640406558745,940.7169544917932,1130.1693516574755,40000,1.0000445811302234
1|dataset_sd,1605.8628628220536,505.9583190487068,775.3720139933399,2607.922054520981,5296,1.0002807875274526
