,mean,sd,hpd0.95_lower,hpd0.95_upper,effective_n,gelman_rubin
is_pred|dataset[folke2016],-0.009518210846613858,0.02476705043694678,-0.06744936126489916,0.03468386105364382,10982,0.9999926469973018
is_pred|dataset[krajbich2010],0.014496006977575908,0.025426887385939623,-0.030271482437213986,0.07214479033949588,7709,0.9999773516714311
is_pred|dataset[krajbich2011],-0.0030720190712730418,0.02385241928927552,-0.054723397950000974,0.04659876482845329,8274,1.0000243051843813
is_pred|dataset[tavares2017],-0.001081221003178365,0.02422275851786686,-0.05288439519771248,0.05123133737500241,8060,0.9999777703626566
is_pred|dataset_sd,0.02980352551045794,0.029438388054193836,1.2816091755685402e-06,0.08812104539358527,7866,0.9999811256341123
is_pred,0.0012943559558857127,0.022763848612785176,-0.044331904726816286,0.04828612074333929,7507,0.9999880157798349
Intercept,0.7691412570108493,0.049427916396020496,0.6699735007462502,0.8696889904194286,7060,0.999981493253158
1|dataset[folke2016],-0.11371946932807421,0.05058520954988083,-0.21490981561720474,-0.011405615618745363,7618,0.9999778069767371
1|dataset[krajbich2010],0.049531382446226756,0.05038060013409141,-0.050652614229545694,0.15260127263342002,7309,0.9999802881034675
1|dataset[krajbich2011],-0.030279461081813286,0.05039148513061576,-0.13240601459225193,0.07107018365121505,7459,1.0000004227831463
1|dataset[tavares2017],0.08911517180104248,0.05036810216996039,-0.009147801357511537,0.19299479168845868,7568,0.9999855283650559
best_chosen_sd,0.08974223322482397,0.004200070524035523,0.08176042845387366,0.09810606897692631,34822,0.9999752811981824
1|dataset_sd,0.09932259378569105,0.03438442341425719,0.043780582722062165,0.1684206173825929,13472,1.000055561035217
