,mean,sd,hpd0.95_lower,hpd0.95_upper,effective_n,gelman_rubin
is_pred|dataset[folke2016],-0.06400387313691447,0.05248460589857158,-0.1754137162581083,0.022770678472884026,1838,1.0005883100305195
is_pred|dataset[krajbich2010],0.01550521449328022,0.04266599895407695,-0.07853878123659089,0.10535973559862706,2085,1.0003592022333287
is_pred|dataset[krajbich2011],-0.010302641061905593,0.04377412887934766,-0.10949656968632614,0.07527330915563796,1854,1.0006691073370215
is_pred|dataset[tavares2017],0.017728325298620912,0.04382420705149122,-0.07526132789724789,0.11145450477917689,2190,1.0002924902687487
is_pred|dataset_sd,0.06842794077371578,0.04850300286076539,6.202957702398151e-06,0.1649870010146309,2123,1.0002673709447696
gaze_influence_sd,0.10883331064782417,0.0052286422165292185,0.09890254288562768,0.11939908358243027,40000,1.0001123932434377
is_pred,-0.22717944270753637,0.041045024631779226,-0.30811488815321997,-0.13191198109774838,1640,1.0005446081677212
Intercept,0.23676498800298817,0.036684394745025314,0.15698975675059829,0.3111776054703204,1972,1.0013903175013459
1|dataset[folke2016],0.06927965925405685,0.041886304080893215,-0.005756587369924693,0.1619772781878725,3436,1.0007090673124643
1|dataset[krajbich2010],-0.029082917840311546,0.038280600314881105,-0.10935076901081242,0.049900269306929715,2128,1.0012242546270136
1|dataset[krajbich2011],0.004569100720639178,0.03855233883722685,-0.07352164676432692,0.0877567812256981,2283,1.0011380085755923
1|dataset[tavares2017],-0.02979493150701471,0.039037627670183664,-0.10988168777191516,0.05038745246308665,2330,1.0014833169396153
1|dataset_sd,0.06690672076379776,0.03404416735371195,0.013614745170161051,0.13749804760840617,6478,1.0000453854655287
