,mean,sd,hpd0.95_lower,hpd0.95_upper,effective_n,gelman_rubin
is_pred|dataset[folke2016],-2.5262260961588443,195.73063865351526,-442.55970682434037,419.51589328190477,5191,1.0001263260320252
is_pred|dataset[krajbich2010],-17.880492847367275,184.55875605940142,-431.1113446310017,369.9796370963399,3924,1.00035695047969
is_pred|dataset[krajbich2011],5.378380346032331,189.57251253462636,-407.9775777468092,422.47026140917615,4321,1.0006147493487192
is_pred|dataset[tavares2017],5.896717329945016,193.93615501625143,-413.33287533436686,443.8865445853138,4985,1.000214539507531
is_pred|dataset_sd,227.1155345207579,246.03649317396224,0.00010748398132449555,691.7117548542059,2288,0.999977120201264
is_pred,14.652197641823799,185.81839205671827,-354.9253263709411,412.8748842326774,2788,1.0010591378759135
Intercept,2930.310778669583,795.4899152403009,1289.8188879173863,4439.70536331305,923,1.0002546763190932
1|dataset[folke2016],2374.5229833782887,804.4411787422642,828.0282347751262,4005.1609601558134,966,1.0003413544143005
1|dataset[krajbich2010],-771.7675218795196,800.5795673237059,-2365.0515780668866,796.4468938303339,948,1.0003066704855879
1|dataset[krajbich2011],-487.60832863208356,802.3764058834396,-2062.665692155561,1115.052138407714,948,1.0002515209874963
1|dataset[tavares2017],-1032.6013971355314,803.7383533114722,-2579.2872756525608,612.2482727997927,962,1.0002421728927273
mean_rt_sd,1057.6852533101335,50.216135491577404,959.9670930437492,1155.9335921793922,40000,0.999999361902342
1|dataset_sd,1623.5463975534283,517.8833541314281,782.440178751382,2679.704160147229,3999,1.0000886518635173
