,mean,sd,hpd0.95_lower,hpd0.95_upper,effective_n,gelman_rubin
1|dataset[folke2016],-0.03041998387737158,0.3188294222516721,-1.0221883556134854,0.46765195798595116,35,1.058238086879058
1|dataset[krajbich2010],0.1501081026075179,0.32066826225649975,-0.20063747825815342,1.0022711377124742,48,1.0045955902363326
1|dataset[krajbich2011],-0.14148537231992248,0.3074931177730203,-1.0716309714109329,0.2772250927660223,35,1.0530439022204439
1|dataset[tavares2017],-0.09722132907288503,0.2854543505191067,-0.7600558361873438,0.5228293917904551,87,1.0248596169100934
Intercept,0.06364181270968598,0.33176103842017457,-0.5145823696899545,0.7219237412963302,50,1.0402339327962093
log_v,-0.7814872532798796,0.04492955396353117,-0.8397959243734513,-0.6432287023702317,28,1.0363561111649655
1|dataset_sd,0.3151686660610386,0.3712977852258585,1.5766755673542114e-05,1.2519067623671356,39,1.0280891422770193
log_v|dataset[folke2016],-0.0197606695320247,0.04286811704450081,-0.17608451188080185,0.018717467171712434,22,1.0497361472414506
log_v|dataset[krajbich2010],0.008597455215682805,0.022512206038811475,-0.029034848810043427,0.06334062879260056,643,1.0007784404427866
log_v|dataset[krajbich2011],-0.016111233554636235,0.04278444942563789,-0.15256787125617946,0.025509432353445712,23,1.0439376929996151
log_v|dataset[tavares2017],-0.01581263955309494,0.037005153697564186,-0.10266583529963777,0.040774333184849465,36,1.0285699482406419
log_v|dataset_sd,0.03086241848097365,0.037743707633428256,5.608236942486771e-07,0.13189778412363629,29,1.0520978244840349
log_rt_sd,0.11237010297064871,0.007673214547528538,0.09766550411586797,0.12744426896357927,6726,1.0001893739794256
