,mean,sd,hpd0.95_lower,hpd0.95_upper,effective_n,gelman_rubin,P(>0)
1|dataset_sd,8.066149611764684,2.6652666964857237,3.6869529219887154,13.452822652423666,16908,1.0000357131003372,
Intercept,76.61453527402367,3.992459653982423,68.57896076800867,84.60730474426143,7874,1.0001935642935544,
gamma|dataset_sd,15.509637636758152,7.313229830486473,4.353149044648554,30.44501013877471,12113,1.0000029944145707,
best_chosen_sd,7.552916294676136,0.5221537549251631,6.550855297784299,8.586439179709474,35776,0.9999790370417471,
gamma,12.439863561683703,7.772005700949233,-3.933989100903884,27.86070171113042,7072,1.0000187126058944,0.9418
gamma|dataset[folke2016],17.27621490939696,9.280904807894666,0.10234763420278231,36.75991981892838,9376,1.0000223754109414,
gamma|dataset[krajbich2010],-9.143329689533214,7.943436983720205,-24.85363521620979,7.647588975255633,7538,0.9999912029433972,
gamma|dataset[krajbich2011],2.2436004240280227,8.108857141653765,-13.531658523403111,19.442112264288635,7979,1.0000426037547245,
gamma|dataset[tavares2017],-3.0394220671407144,8.829622061914364,-21.164983061515933,14.678772485010116,10260,1.0000166747641532,
1|dataset[folke2016],-8.2943619122994,4.161885373828277,-16.33420910857546,0.40216055060155065,8929,1.0001948572036132,
1|dataset[krajbich2010],3.676535658248892,4.121043810336847,-4.649761441225738,11.875691141580456,8561,1.0001463210534665,
1|dataset[krajbich2011],-4.146523294463333,4.126926597166151,-12.423761063751302,4.172305279680902,8579,1.0001808337650766,
1|dataset[tavares2017],8.761590944802615,4.15233783498766,0.8250759101502562,17.38709903685956,8801,1.0002262727851388,
