,mean,sd,hpd0.95_lower,hpd0.95_upper,effective_n,gelman_rubin
gamma,-23.67514021626207,4.993297669477061,-34.00854077526977,-13.602039432807306,7972,1.000280502495835
gamma|dataset_sd,6.218885121157839,5.974767802125444,0.0011454924547020348,17.96427097375016,5993,1.0002044293121344
1|dataset[folke2016],1.6353504292703587,2.617823771078687,-3.0982486481631275,7.445386411533895,13249,1.0001627908948834
1|dataset[krajbich2010],0.43551244741570655,2.380840461390274,-4.569347320742875,5.63615126496439,11114,1.0001676230369054
1|dataset[krajbich2011],0.3275677472252132,2.381812623293869,-4.7452666618228925,5.426782696047706,13037,0.9999893980771575
1|dataset[tavares2017],-2.269635460934047,2.7324327185991257,-8.109107960699331,2.4547755941814846,13203,1.000056447649813
Intercept,26.398270164074003,2.191812137678882,21.635235532122454,30.870482994927368,10277,1.0001043671544447
gaze_influence_sd,12.085332446005342,0.8052590660639554,10.532959665980103,13.659937550914094,32710,1.0000696296659646
1|dataset_sd,3.3302679466999945,2.6506458132166726,3.642563974572677e-05,8.427078135582839,6939,1.0001684575547511
gamma|dataset[folke2016],0.2417579702194856,5.6499563195355815,-11.593405608748895,12.866469313199142,15807,0.999992086919619
gamma|dataset[krajbich2010],1.1887345270649305,4.910502948221179,-8.565536682334741,12.435002258916711,7881,1.0001430904642294
gamma|dataset[krajbich2011],-1.7658721226429537,5.29298377214812,-13.853267973516573,8.406282788710596,8568,1.0004388068374868
gamma|dataset[tavares2017],-2.3737891958955992,6.303805694769476,-17.390468444164192,8.581978653477693,12122,1.000064610869898
