,mean,sd,hpd0.95_lower,hpd0.95_upper,effective_n,gelman_rubin
s,-218.29093257999065,687.8665851740084,-1648.7478102247494,1140.5226956183508,972,1.000933937833972
s|dataset[folke2016],-423.0391276446906,922.1124674997995,-2576.908700683352,1212.0607473422317,7285,0.9999999934909164
s|dataset[krajbich2010],-22.683157600347926,669.3904827207075,-1403.3994959907877,1488.2488931653156,1833,1.000407991074067
s|dataset[krajbich2011],-103.3076880341424,654.08392713693,-1545.9753516763035,1265.785355946583,2446,1.000339991344899
s|dataset[tavares2017],461.9864112285475,724.2488056415203,-760.3134020943994,2160.9712066911625,2243,1.0004212413235738
best_chosen_sd,9.180179514659297,0.6196947636930988,7.974797066271502,10.391929148123012,36172,0.9999982597487643
Intercept,78.02120537720407,6.99370935200525,63.44417990811837,92.3040925409243,3185,1.000998240277754
1|dataset[folke2016],-8.238413381988996,7.405846216848359,-23.70232722412151,5.76062724825024,6003,1.0002182781762345
1|dataset[krajbich2010],5.18976348229251,6.891942455272367,-8.148111470298803,20.474558723955735,4042,1.000514536501827
1|dataset[krajbich2011],-1.4746755544844454,6.719202692725386,-16.090906177975196,12.18163121085126,4236,1.000479180322109
1|dataset[tavares2017],5.34552225701217,8.222001736363751,-10.090230982427567,22.611228926765946,3017,1.0003221459002898
s|dataset_sd,945.7283882606476,824.2934803250065,0.046145771409415316,2528.0217440241818,3988,1.0005915346298606
1|dataset_sd,10.625328797057877,6.370966147804166,0.00115957814300651,22.790512654449195,5465,1.00011116166595
