,mean,sd,hpd0.95_lower,hpd0.95_upper,effective_n,gelman_rubin,P(>0)
1|dataset[folke2016],-6.124273378260675,4.229298523710547,-14.69257846042185,1.95289401727152,7707,1.000071360054925,
1|dataset[krajbich2010],1.2072604307351884,3.924695478457461,-6.717944741999762,9.284345081352205,6826,1.0001882247387555,
1|dataset[krajbich2011],-1.7330988982917643,4.074860792164082,-10.179785126695775,6.365571887011304,7552,1.0000049731666978,
1|dataset[tavares2017],7.609854159766434,4.434980568634585,-0.7345374338079402,16.626237895106957,8804,1.0002211718231913,
1|dataset_sd,7.204440044521635,3.2033710143723924,1.9543048845464217,14.144801043111338,12574,1.0000110832918119,
Intercept,81.9568932179909,3.809756014925049,74.02812357649456,89.7026574221206,6263,1.0001989950653327,
best_chosen_sd,8.067290598976598,0.5462295142665358,7.017158554399702,9.149816857422326,33114,0.9999750539108527,
gamma,-0.53628594993518,0.2227768890626232,-0.9780552895151259,-0.05623775242109618,8212,1.0000150486214872,0.02175
gamma|dataset[folke2016],-0.14273432993249113,0.2452433147963764,-0.699783296903089,0.2928654771830234,7849,1.00005309155246,
gamma|dataset[krajbich2010],0.08798862474596333,0.23598724479001162,-0.35401345132400397,0.6451641911091572,10709,1.0000017737128506,
gamma|dataset[krajbich2011],-0.1476932751345573,0.2637401589568589,-0.7582718010019471,0.29212946212794794,8671,1.0001447525232756,
gamma|dataset[tavares2017],0.12707465296408108,0.2739239219324193,-0.3536392124310985,0.7853642817542702,15236,0.9999779188766721,
gamma|dataset_sd,0.3185609215108324,0.27052412125864805,4.52378743915001e-05,0.842738378642993,7294,1.000812666335361,
