,mean,sd,hpd0.95_lower,hpd0.95_upper,effective_n,gelman_rubin,P(>0)
1|dataset[krajbich2010],0.16566159519185558,4.048481467732034,-9.166178506478985,7.768125762791204,3792,1.0000105940991557,
1|dataset[krajbich2011],-4.860354545895405,4.2477104046433976,-14.291646922795788,2.9837327767782345,3393,0.9999860595816116,
1|dataset[tavares2017],3.4714472175034707,4.371223919453586,-4.975883152572337,13.007316295696448,5602,1.00003537682216,
1|dataset_sd,6.293406287498687,3.6164096976913314,0.5087402967333142,13.522915188053775,5273,0.9999751305453551,
Intercept,74.8697925388158,4.129429647680978,66.91297325627927,83.66547029971237,3204,0.9999940569720093,
best_chosen_sd,7.767048434710513,0.5721938474574951,6.704249784382808,8.931709670914637,20074,0.9999823992693683,
gamma,8.780298909965303,4.08539001490244,0.14121731614019528,17.084059993227843,2447,0.999996522429448,0.972725
gamma|dataset[krajbich2010],-0.38984381434478665,3.8557681588481194,-9.23715069329987,7.9731580632942345,2743,0.9999839754271327,
gamma|dataset[krajbich2011],0.6516175092495516,4.117169881866071,-7.516587412807073,10.327755180549037,2315,0.9999957337519825,
gamma|dataset[tavares2017],1.0750430471356602,4.578788819880824,-7.897730964598816,12.06387233054662,3804,0.9999800816225849,
gamma|dataset_sd,5.056035950321417,5.039937255518041,2.5112848930029988e-05,15.283775437596145,3558,1.000134758775727,
