,mean,sd,hpd0.95_lower,hpd0.95_upper,effective_n,gelman_rubin
1|dataset[folke2016],2411.9396238743925,783.6824257074768,945.5321147858938,4083.4138453556275,1037,1.0038057185994482
1|dataset[krajbich2010],-754.6569815411145,780.124260497579,-2332.521320318914,782.7238224757638,1028,1.0040177250443298
1|dataset[krajbich2011],-472.19019636361395,780.1800369286435,-1994.3657353256199,1134.551428043106,1034,1.0038662647215815
1|dataset[tavares2017],-974.565860076787,781.3904340193084,-2540.822789622115,578.0088077449105,1044,1.0039290706013364
1|dataset_sd,1603.2098825088533,510.8631619729675,768.7854995690174,2627.723891308565,5484,0.9999981612613723
Intercept,2885.0329304241577,773.9304679614331,1319.7239192747616,4411.363359285692,994,1.0041748745121495
is_pred,54.091146567508936,188.10291708301472,-321.00409711965875,446.0425431486997,1728,1.001059967231017
is_pred|dataset[folke2016],19.88745680975971,195.52713075770455,-406.3211854132042,449.034239971115,3814,1.0004081635656443
is_pred|dataset[krajbich2010],-13.97574604845098,185.285549211344,-433.4506205587077,384.1833647206469,2665,1.000678620868083
is_pred|dataset[krajbich2011],13.146100402755817,192.48096330640914,-406.4464002343384,441.0209890886025,3185,1.0005082426382685
is_pred|dataset[tavares2017],-25.371761660110113,193.97565385826047,-475.58251134163754,379.2855877258349,3730,1.0005600658119755
is_pred|dataset_sd,225.1626946238941,231.81954454743038,0.020616672050830193,682.8468922650089,3382,1.00020211546132
mean_rt_sd,1043.8350480494478,48.96356126933341,948.7145657597605,1140.4738101887506,40000,0.9999763396054648
