,mean,sd,hpd0.95_lower,hpd0.95_upper,effective_n,gelman_rubin
1|dataset[folke2016],-0.12003479977661712,0.060580505403750776,-0.24379922202339424,-0.0020405031215286573,1463,1.000731708566051
1|dataset[krajbich2010],0.06664946694268908,0.06017553033698513,-0.05675721324752682,0.1830436276559393,1491,1.000824935103258
1|dataset[krajbich2011],-0.042117085634894004,0.06018073577562201,-0.16667823326720668,0.07312160439634811,1434,1.0008324433372593
1|dataset[tavares2017],0.10045007939951472,0.06059221267348751,-0.022517098574256236,0.21724184809620917,1415,1.000882700742629
1|dataset_sd,0.11236001386189266,0.03967817049740685,0.04858308800075529,0.19333168340553347,4040,1.0004196112514763
Intercept,0.7441378629276976,0.05946441726399852,0.6266082627385555,0.8643576834576052,1381,1.0007898672865096
best_chosen_sd,0.10020840437105262,0.004697473760281974,0.09089373415036886,0.10926300807752204,31879,1.000028318365671
is_pred,-0.0011176882885093834,0.020210074678381523,-0.04017084817306556,0.03964422306035837,5135,0.999992456197217
is_pred|dataset[folke2016],-0.003717132802495204,0.020708558733857813,-0.049763886954071954,0.03893255038807226,6722,1.0002630265076342
is_pred|dataset[krajbich2010],0.0003115853145844577,0.01987057815111226,-0.044534329162832696,0.04083684597508461,4895,1.0000342523481482
is_pred|dataset[krajbich2011],0.0005641925542739244,0.020436117089514948,-0.04289747034250779,0.04420762889540901,5262,0.9999799746468603
is_pred|dataset[tavares2017],0.002361902613870276,0.020548687392374986,-0.04007905453198768,0.04911616486798645,6145,0.999992831571337
is_pred|dataset_sd,0.022912411873087908,0.025235361466826964,8.474199909382241e-07,0.07133989154633283,3217,1.0000017838031474
