,mean,sd,hpd0.95_lower,hpd0.95_upper,effective_n,gelman_rubin
1|dataset[folke2016],0.0749842200113227,0.04223614563662463,-0.005753585031758461,0.1643542992223851,6441,0.999975211048397
1|dataset[krajbich2010],-0.05154363967227094,0.040482722752980115,-0.13594883486565867,0.030096026714838114,5836,1.0000115699556447
1|dataset[krajbich2011],0.0011153318275028729,0.04087851780247069,-0.08418058396096383,0.08260773255831005,6073,0.9999750183935188
1|dataset[tavares2017],-0.01847249049398409,0.04148191238403275,-0.10706278086626424,0.06271810770797033,6055,0.9999894553784245
1|dataset_sd,0.07446712625175057,0.03506777900388663,0.021448449390907256,0.14408355957485786,5703,0.9999792904995379
Intercept,0.2177090124878835,0.03917109965587122,0.13878002948066384,0.30112780327930716,5342,0.9999775017048029
gaze_influence_sd,0.12931643668747178,0.005046340368714808,0.12049980681802942,0.13864511343215727,17965,1.0003182244524058
is_pred,-0.03653793286444585,0.02755159081107292,-0.09545366141249996,0.015631822997835103,4043,1.0002700442952162
is_pred|dataset[folke2016],-0.005839028792039043,0.02935558230231655,-0.07390130668966828,0.05173838393937027,5214,1.000248171255816
is_pred|dataset[krajbich2010],-0.0038088029166877284,0.027801870410386034,-0.06570309646567717,0.053564867942429276,4615,1.0003881455526789
is_pred|dataset[krajbich2011],-0.004017503101554609,0.028422518617295573,-0.06817141649504016,0.05226197963352631,4100,1.0001882493758045
is_pred|dataset[tavares2017],0.01276058068464103,0.030323786704051107,-0.04223162254490757,0.0827143562775658,4804,1.0001773327496606
is_pred|dataset_sd,0.03362377471317992,0.03517327502404111,4.569809416468553e-06,0.10134780926201241,3656,1.0001850631429858
