,mean,sd,hpd0.95_lower,hpd0.95_upper,effective_n,gelman_rubin
1|dataset_sd,0.24407230746363368,0.1927723128721711,2.4574976213517045e-05,0.5986476740835045,65,1.0294386096598631
log_v,-0.7359829480899891,0.03192674833463043,-0.8016827619316972,-0.6834804331274397,67,1.0244836569629452
log_rt_sd,0.13524687575580593,0.009020609273214956,0.11828375206309316,0.15335490574118546,1491,0.9998458122621033
log_v|dataset[folke2016],0.00133213005619823,0.03364088039340263,-0.039283661806775304,0.10438630896876665,20,1.0437732219058262
log_v|dataset[krajbich2010],0.00837133195159606,0.02035657191189064,-0.031001790660549613,0.054064529481553415,195,1.0010792557796486
log_v|dataset[krajbich2011],-0.002458889028361078,0.01833971763490663,-0.03764647825110501,0.0370047845616719,73,1.0182126722269604
log_v|dataset[tavares2017],-0.0017143172703036553,0.01915032426021121,-0.04435873619476907,0.03157742253585012,336,1.0052638100146538
Intercept,0.6620795118260644,0.37613945754889505,0.13451353589733028,1.516581280759176,30,1.0502573977531604
1|dataset[folke2016],0.13257560108118047,0.2481088752424591,-0.20356306947516115,0.8160966492684639,26,1.0323688937987574
1|dataset[krajbich2010],0.003948264202584124,0.2137232278999295,-0.4547677070951995,0.4004816306460732,37,1.0416358493517666
1|dataset[krajbich2011],-0.16148472689361837,0.2673537616473544,-0.9123219822884638,0.12139337394563948,25,1.0507143400885153
1|dataset[tavares2017],-0.12888062647776938,0.2211322997584546,-0.6068330575119713,0.23263936976526087,66,1.0105495018453898
log_v|dataset_sd,0.033990725373541905,0.04370474478659658,8.785535906451556e-07,0.15871475457682743,18,1.0526321811321049
