,mean,sd,hpd0.95_lower,hpd0.95_upper,effective_n,gelman_rubin
1|dataset[folke2016],-0.01764596579722349,0.2951953864966102,-0.6344158584262424,0.42350192310214096,3525,1.004310983526136
1|dataset[krajbich2010],0.03319831323166129,0.24340173266299137,-0.4166187662728978,0.5903203055483456,6036,1.0000391906752018
1|dataset[krajbich2011],-0.12576459645794089,0.2859998144705866,-0.7286722168083237,0.2574282543521824,2929,1.0046662791307195
1|dataset[tavares2017],-0.07133500827582333,0.27804204810689437,-0.6405202038402932,0.3579666896853506,3211,1.0054460186951482
1|dataset_sd,0.23148573446108145,0.30600301532066576,2.5661151236153575e-05,0.8285553302028916,2254,1.008188255709116
Intercept,-0.03397793383531827,0.354079374967505,-0.6896329044602141,0.6297736992652492,3947,1.0005311568009185
log_rt_sd,0.12410460590871371,0.008430098037620326,0.10812075163245297,0.14099436858687406,31014,1.0002500037538327
log_v,-0.7980449417102341,0.03802584296953205,-0.868558318355842,-0.7289216724037523,3577,1.0019771726963118
log_v|dataset[folke2016],-0.012265508876043813,0.032371878637056935,-0.07797721240061832,0.03281620221601208,2263,1.0072021061078038
log_v|dataset[krajbich2010],0.003155798005086121,0.026932431956974104,-0.04248141319539327,0.06431620746785453,4049,1.0005010330053368
log_v|dataset[krajbich2011],-0.005551752088870226,0.032312062443579065,-0.07234511359734183,0.03795240682728158,1968,1.0078210401311176
log_v|dataset[tavares2017],-0.007438711435905853,0.032203495947635795,-0.07485019498146168,0.041168457441812384,2100,1.0084345724766595
log_v|dataset_sd,0.025353615000682898,0.038486493719192376,1.2514146251925441e-06,0.09352685229217232,1467,1.0122547680911385
