,mean,sd,hpd0.95_lower,hpd0.95_upper,effective_n,gelman_rubin,P(>0)
1|dataset[folke2016],-5.956512954106514,4.364542985963655,-14.87141001265748,2.13889330833287,1592,1.0008309817576848,
1|dataset[krajbich2010],1.3966099947177817,4.05422321971752,-6.568707194360548,9.55502364355754,1428,1.0012277973579282,
1|dataset[krajbich2011],-1.5742527249942941,4.180720346000479,-10.02438827004779,6.637936034796024,1579,1.0009497837680297,
1|dataset[tavares2017],7.815341204322327,4.592465137289277,-0.8796678274656445,16.995087960748425,1711,1.0006500458003613,
1|dataset_sd,7.232851934132304,3.1714324389856876,1.8078073848192067,13.893731710141294,2905,1.0003370507107254,
Intercept,81.76539197623815,3.9810868400477473,73.93582680604995,89.67562010611627,1283,1.0012530801777173,
best_chosen_sd,8.065718120164336,0.5522390984524128,7.010017224651119,9.160789572980262,31223,0.9999752792157832,
gamma,-0.5386282778346154,0.2177385624473419,-0.9662839001260235,-0.05880782574752374,10852,0.9999959083022298,0.0207
gamma|dataset[folke2016],-0.14055536424688883,0.23737954865348865,-0.6863212767724696,0.2802595210343508,10451,0.9999841828885703,
gamma|dataset[krajbich2010],0.09183210003288177,0.230552106528819,-0.37836122749433554,0.6075202996334725,14686,0.9999753601587139,
gamma|dataset[krajbich2011],-0.14365139119169873,0.2612463254476209,-0.7313968705327673,0.31679716190924084,12857,0.9999845760332936,
gamma|dataset[tavares2017],0.12841469528560853,0.27324590520606284,-0.3698486350158517,0.7613778733750546,16275,0.9999809931816068,
gamma|dataset_sd,0.31996279502739305,0.2720802074506551,9.887002263553469e-06,0.8587659340793719,9667,0.9999878771058557,
