,mean,sd,hpd0.95_lower,hpd0.95_upper,effective_n,gelman_rubin
gamma,1.3034191734521852,0.47187364380143615,0.34400172019651387,2.225488345305278,906,1.0015198992505296
gamma|dataset[folke2016],-0.47404612749894787,0.4845672804520712,-1.43435501131437,0.5341245261253658,1130,1.0013597002672114
gamma|dataset[krajbich2010],0.7065534327779153,0.5303089399783579,-0.24777613981325838,1.7885689673304803,980,1.0009652159512383
gamma|dataset[krajbich2011],0.3516971945064146,0.5254141123908803,-0.6185839429944406,1.4538355117193738,1114,1.0013678941097162
gamma|dataset[tavares2017],0.10670660443200704,0.5364833100244513,-0.9002747543279341,1.2758636522488305,1561,1.0007608405474673
Intercept,12.823820229641875,4.680673885939549,2.9731459626012606,21.8990994006988,3339,1.0010459996079417
gaze_influence_sd,11.012883238671144,0.7623480577841423,9.5486019916908,12.526434019500117,24978,0.9999816260705461
1|dataset_sd,7.931713945143284,4.194952607645221,0.5270036371591268,16.198522946751932,5412,1.000102587674129
1|dataset[folke2016],7.563435136251893,5.485726563617415,-2.3679362075525963,18.789815951252276,4509,1.000769963225253
1|dataset[krajbich2010],-1.2031791890551184,4.854250580750763,-11.5379309166503,7.994241697993902,3757,1.0008443977561823
1|dataset[krajbich2011],-3.0429424972396273,5.215735983816529,-14.094892790556065,6.605919868560802,3982,1.0009269186130865
1|dataset[tavares2017],-5.4838793764925535,5.627667589281322,-16.966600755718357,4.920544928251901,3774,1.0002692655389138
gamma|dataset_sd,0.7961638007047486,0.42246432152798735,0.18209515618611993,1.6798390851857934,100,1.0010009102197157
