,mean,sd,hpd0.95_lower,hpd0.95_upper,effective_n,gelman_rubin
1|dataset[folke2016],-3.8500166012833374,6.037433144835189,-16.912046247701518,7.211605505985768,13357,1.0001462646528132
1|dataset[krajbich2010],2.6078323834148005,5.068188514133111,-7.289656528501943,13.346602853091616,9021,1.000533119959109
1|dataset[krajbich2011],-3.7953666947134153,4.9785771233341585,-14.586924099396452,5.5491136874159634,8718,1.0001629130954608
1|dataset[tavares2017],5.405715491543217,5.500874650835134,-4.156287957945318,16.98005931350048,9761,1.000823191836037
1|dataset_sd,7.412220968938874,4.592130060855543,0.0007640197054484849,16.02723826518226,10633,1.0002760379913251
Intercept,78.91441840737038,4.894835995203933,68.90519282976533,88.87220385239979,6775,1.0006066415325499
best_chosen_sd,10.158341366066407,0.6903981865033061,8.840165524556886,11.530310320988756,31408,1.0000993652771977
mean_rt,-0.0011330803051073821,0.001589693963057977,-0.004126580462210506,0.0022907360926629357,9556,0.999978341321234
mean_rt|dataset[folke2016],-0.0012032503191068448,0.0016630577176424777,-0.004966469439010359,0.0015982838370661387,9537,0.9999799270086982
mean_rt|dataset[krajbich2010],0.0009085999715204024,0.001676879072910439,-0.0020682671014763993,0.0047741791030453855,13639,0.9999778628210391
mean_rt|dataset[krajbich2011],-0.0008329202919353124,0.0016911614718790274,-0.004717871675785133,0.0021744659633285484,10919,1.000062287198237
mean_rt|dataset[tavares2017],0.0009594994503302643,0.001946701792571302,-0.00266042119864167,0.005320335529871574,15528,1.0000482089734877
mean_rt|dataset_sd,0.0022596005792230893,0.0017408510726005884,1.1982124884579683e-07,0.00564594768159859,11060,0.999977276692408
