,mean,sd,hpd0.95_lower,hpd0.95_upper,effective_n,gelman_rubin
1|dataset[folke2016],2282.9264923843707,911.7906391181766,507.0656356763786,4183.234991719651,151,1.0068031985389199
1|dataset[krajbich2010],-563.4268900637774,854.9045187636962,-2281.3503441736757,1339.570610370196,118,1.0127019420483854
1|dataset[krajbich2011],-535.514348020639,855.0984886307906,-2179.560164982465,1396.1688252804918,123,1.0112033866813483
1|dataset[tavares2017],-915.2371161893884,864.1801555429706,-2714.9407517162495,894.3261094939288,129,1.0125238648516433
1|dataset_sd,1639.2331570247009,592.504241503677,668.5232604078888,2845.18952091491,874,1.0000544315392343
Intercept,2890.695623104688,841.690872830956,842.6092653913835,4429.605634875464,110,1.0139867221263164
gaze_influence,-1.270321105148934,16.280947038990586,-34.1092159502032,32.46023898141669,272,1.005470231595506
gaze_influence|dataset[folke2016],4.429943433998859,17.0444393487055,-35.50626842737473,40.70100032352744,650,1.0008951865398321
gaze_influence|dataset[krajbich2010],-10.576383524806566,17.14536580781492,-49.31121093176183,19.545357058141384,345,1.0049764858924775
gaze_influence|dataset[krajbich2011],3.129911461247489,16.43257388562096,-30.80149990274844,41.04946078174194,338,1.0029435923093897
gaze_influence|dataset[tavares2017],-0.5868475679896362,19.150088574046876,-47.039035059738794,36.899100767085116,358,1.002708133448236
gaze_influence|dataset_sd,23.279493658100364,33.76454481750201,0.0001524853837632368,61.67972253117824,91,1.0132570908881267
mean_rt_sd,1040.4897702571266,70.53295010685237,908.0523080530759,1183.6615913396279,31382,0.9999847601454898
