,mean,sd,hpd0.95_lower,hpd0.95_upper,effective_n,gelman_rubin
1|dataset[folke2016],-2.3950055665106387,4.096389868608805,-11.389149255498635,5.063946516469582,10266,0.9999925879200882
1|dataset[krajbich2010],1.6412290194186083,3.510145723590653,-4.8768380220263,9.567185738340182,7989,0.9999782062823661
1|dataset[krajbich2011],-1.7474436246765774,3.519305788020538,-9.414013818838198,5.01720629899346,9191,0.9999772551645297
1|dataset[tavares2017],3.687209271859897,4.364016605056853,-3.281590238423147,13.150223703821702,8226,0.9999947923928209
1|dataset_sd,4.970287786387507,3.613080594229219,0.00047498404775307576,11.978790353041816,7168,1.000007850916692
Intercept,84.84410140974629,3.356355696107621,77.7086890677037,91.52826234620423,7986,0.9999833458323825
best_chosen_sd,7.906527413748652,0.5330787742678246,6.904449931491729,8.97960647331945,32225,0.9999977008377041
gaze_influence,-0.4191059364028453,0.158849422219098,-0.7384562733091227,-0.07844958958493195,5927,1.0007557076572682
gaze_influence|dataset[folke2016],-0.21530098591039473,0.18467907953997714,-0.6060611375483291,0.11060944208465626,7279,1.0004202546337277
gaze_influence|dataset[krajbich2010],0.0801866165737599,0.16247982080717463,-0.2599658419522496,0.41720937904773503,6196,1.0007442153726773
gaze_influence|dataset[krajbich2011],-0.15489430548511995,0.1715053968606332,-0.5282192604643445,0.16365983634720976,6509,1.0004253136264931
gaze_influence|dataset[tavares2017],0.17677018634412417,0.19569681206896325,-0.18054818890112553,0.5920004697580291,7108,1.000686838403184
gaze_influence|dataset_sd,0.2895087549280067,0.17181307734420773,2.2749323341734208e-05,0.6209434466674533,6551,0.9999839861283254
