,mean,sd,hpd0.95_lower,hpd0.95_upper,effective_n,gelman_rubin
1|dataset[folke2016],-0.9223587243630625,4.980088904365172,-13.130663578045294,8.452724489792189,1015,1.0008790713278573
1|dataset[krajbich2010],0.5453702345718621,5.142819493264583,-10.041050844700356,12.486225285643497,977,1.0002915846587657
1|dataset[krajbich2011],-0.6651084374888188,4.9339391776531505,-11.293472261659408,10.258640136840041,1119,0.9999928778627878
1|dataset[tavares2017],1.606549624981624,4.980496953719416,-8.796276418829745,13.067837165596222,2597,1.0000241625487034
1|dataset_sd,5.325254772718389,5.323543193887054,0.003357096199814954,16.615600998729175,1712,1.004207313481436
Intercept,80.1581944761698,8.258585601064146,63.54879582225161,96.92282072586282,1757,0.9999876716540466
best_chosen,-0.7772739609833713,0.10685865187821847,-0.9976642739198025,-0.5779591036434389,2723,0.9999770582895302
best_chosen|dataset[folke2016],0.009098889679597245,0.06604359395151949,-0.13289043855124563,0.1565960047665123,2913,1.0007687011105288
best_chosen|dataset[krajbich2010],-0.017420305921986224,0.06522080908815915,-0.16742491269865295,0.11209964352789271,1072,1.0000650012013534
best_chosen|dataset[krajbich2011],-0.03558191156833384,0.06846617865861468,-0.18771887835309126,0.08887768869678932,1339,1.0000505066859182
best_chosen|dataset[tavares2017],0.020596424871135343,0.062653119872765,-0.11660177409285882,0.16246152243576586,2138,1.000080919372562
best_chosen|dataset_sd,0.07848017925227317,0.07644178029388651,1.3886536635265238e-06,0.23951282330257453,1316,1.001036731946482
gaze_influence_sd,10.968510940888484,0.7385006626622201,9.540026795697798,12.40862091399955,18769,0.9999756553892811
