,mean,sd,hpd0.95_lower,hpd0.95_upper,effective_n,gelman_rubin
is_recovered|dataset_sd,0.08747859642327906,0.09899601754311235,1.2087882322780242e-06,0.26989058915872033,3305,1.000017580408953
is_recovered|dataset[folke2016],-0.0073911842959445695,0.07884762163091193,-0.17969537179858452,0.15739812552131863,7607,1.0001739688737283
is_recovered|dataset[krajbich2010],-0.009651675026591235,0.07594472381864836,-0.1843231773793764,0.145050040473703,6556,1.0001791928955686
is_recovered|dataset[krajbich2011],0.007401330397372832,0.07557469553029232,-0.15348320638874466,0.17141125465676768,6041,1.0002102243094684
is_recovered|dataset[tavares2017],0.006527572187750308,0.07786447660409918,-0.15365554593638525,0.17810341187455198,6568,1.0000370372899956
1|dataset[folke2016],-0.09946936774625763,0.09448503496543569,-0.29901969517655397,0.07092392079216996,6295,1.0004551689386296
1|dataset[krajbich2010],0.08593409719244176,0.09027157400765856,-0.08252767493741742,0.28024552223345806,6147,1.000388746412795
1|dataset[krajbich2011],0.03493752951181297,0.08848103105425381,-0.14594553416712897,0.2214653162804946,6232,1.0006304189633481
1|dataset[tavares2017],-0.025621556647972478,0.08899906836173196,-0.20934508062704044,0.15618297354195532,6387,1.0005451823723852
is_recovered,-0.03390222920683706,0.07772157747179378,-0.18604664387673123,0.12163286323663158,5934,1.0002446648969314
Intercept,0.1366247248816999,0.08416225718392485,-0.04556520001386172,0.30031303657747793,5152,1.0007130797017996
value_sd,0.3899100645490921,0.011265792289453536,0.36876797243548687,0.4060052613180134,36382,0.9999955798519448
1|dataset_sd,0.13791513298973312,0.08798315353909417,3.4517003570693477e-06,0.3094302283488668,7887,1.0000356967489696
