,mean,sd,hpd0.95_lower,hpd0.95_upper,effective_n,gelman_rubin
is_recovered|dataset_sd,0.0004134115472719379,0.000506530869303024,1.1754733777571019e-08,0.0012858214600812074,20949,0.9999937999709346
is_recovered|dataset[folke2016],1.727396738562933e-05,0.000391565009744124,-0.0007983618012682469,0.000801376348144257,30883,0.9999958822047506
is_recovered|dataset[krajbich2010],2.1063062869639936e-05,0.0003789734901344992,-0.0007571990184884747,0.0007849641589120834,28394,0.9999905745510858
is_recovered|dataset[krajbich2011],-7.407277483136737e-05,0.00038966012926341037,-0.0009202819925996839,0.0006430099611873449,30992,1.00002138809318
is_recovered|dataset[tavares2017],3.711893099391822e-05,0.0003916599383744724,-0.0007435033707281277,0.0008573743667533238,30220,0.9999838646204251
1|dataset[folke2016],-0.0025120335503082554,0.0011577582861438294,-0.004813971689323794,-0.0001721856583387405,10257,1.0000714932670929
1|dataset[krajbich2010],0.0002349535116761512,0.0011503705651201535,-0.002105002235394962,0.002523216824161261,10179,1.0000300259644737
1|dataset[krajbich2011],-0.0006270836011851145,0.001154446099972306,-0.0029601647849368407,0.00168602852926923,10416,1.0000614837057826
1|dataset[tavares2017],0.0028982999888448346,0.0011583335134987302,0.0005292770848706421,0.0051923890783036565,10366,1.0000566243823379
is_recovered,-0.0002846710029289852,0.00038437236504612604,-0.0009891638257585322,0.0004462020184852011,29690,0.9999912430259627
Intercept,0.008368844775497604,0.0011412552201258046,0.006124589094648447,0.010724895046663773,9904,1.0000454596299686
value_sd,0.0017207553960578417,8.037821794824713e-05,0.0015670188279613244,0.00188176838259449,55253,0.9999844165697225
1|dataset_sd,0.0023326793747087157,0.0007498943589954166,0.0010965322598005822,0.0038247772015619383,17448,1.0000359090510016
