,mean,sd,hpd0.95_lower,hpd0.95_upper,effective_n,gelman_rubin
is_recovered|dataset_sd,0.17142665600883725,0.19179664910121344,3.5915870205071173e-06,0.534239190421887,9787,1.0000234769987093
is_recovered|dataset[folke2016],0.01424133311639808,0.15531730954845457,-0.30341144676430165,0.36688236759975246,17229,1.0000240930176219
is_recovered|dataset[krajbich2010],0.0002098213448724587,0.14758497519760996,-0.3185460962201032,0.3164461855411386,12566,1.000196103957394
is_recovered|dataset[krajbich2011],0.01566799163136641,0.15093182182031112,-0.313711299457243,0.3366221569950269,12536,0.9999975951809063
is_recovered|dataset[tavares2017],-0.03066536141728261,0.1542719860660955,-0.38364607351861746,0.2742860706752845,10708,1.0001653193806914
1|dataset[folke2016],0.75360729969521,0.3493985940437625,0.07055407839775982,1.466745610774412,1012,1.0011106199045585
1|dataset[krajbich2010],-0.3296719325322595,0.34522757446751423,-1.0170569983879967,0.36314364666418564,963,1.0012586865107196
1|dataset[krajbich2011],0.026229193186302097,0.34617496618112803,-0.6850187991667289,0.7094183788529933,1001,1.0011698537779974
1|dataset[tavares2017],-0.413126697207891,0.35103484966685156,-1.1249288325181166,0.28324096428002915,940,1.00132038982107
is_recovered,0.045550995554322016,0.14905309746520704,-0.24810526235490946,0.3459493229173145,13224,1.0000626445988323
Intercept,0.9262375086536814,0.3402055535869357,0.2552710525908776,1.6267502554242284,918,1.001312839089129
value_sd,0.7437296289101213,0.03478344251410386,0.676145958640929,0.8123727143033195,31846,0.9999933466687299
1|dataset_sd,0.6373386469423667,0.2495562044804481,0.2486127194594607,1.1439743080018892,1456,1.0005282580286465
