,mean,sd,hpd0.95_lower,hpd0.95_upper,effective_n,gelman_rubin
is_recovered|dataset_sd,6.951739695206909e-06,8.531015456524878e-06,4.1491511759754785e-11,2.147608680079245e-05,14559,0.9999963950996272
is_recovered|dataset[folke2016],-4.179241435788874e-07,6.720427835106671e-06,-1.4287273610222228e-05,1.3031598081765463e-05,35239,1.000005256076218
is_recovered|dataset[krajbich2010],-2.1069997365603446e-07,6.506629034911721e-06,-1.3338046707018758e-05,1.2761245347779492e-05,33201,0.9999975254310869
is_recovered|dataset[krajbich2011],1.790401003590306e-07,6.618550707094175e-06,-1.327700494344205e-05,1.3155876456301253e-05,33747,0.9999862202983621
is_recovered|dataset[tavares2017],4.1425368904526087e-07,6.728428077471739e-06,-1.2973626107247729e-05,1.4303003800883218e-05,35476,0.999992722381109
1|dataset[folke2016],-3.7440987941109814e-05,1.538296968286644e-05,-6.945446612569417e-05,-7.63184841272096e-06,40785,1.0000038176895059
1|dataset[krajbich2010],1.2707300836277876e-05,1.5188875155005345e-05,-1.8551239632461734e-05,4.3019629220388476e-05,40210,1.0000181856454387
1|dataset[krajbich2011],2.604383945465064e-06,1.5259426103094338e-05,-2.8384020359234e-05,3.333398395759519e-05,40828,1.000024380380964
1|dataset[tavares2017],2.1323811118943894e-05,1.535336151205977e-05,-1.0645165159080042e-05,5.1454755321143215e-05,40301,1.0000322058036273
is_recovered,-4.258304581496482e-09,6.666071972284089e-06,-1.208974255853164e-05,1.2432792620145639e-05,34719,0.999990055366479
Intercept,6.499155160055466e-05,1.4993650329092166e-05,3.4343622061589014e-05,9.520008051840489e-05,40214,1.0000214344321794
value_sd,3.0220454161812686e-05,1.4171592937141733e-06,2.750300950897732e-05,3.3020297378893536e-05,47475,0.999984114973337
1|dataset_sd,2.9588344577559674e-05,1.0898039651864796e-05,1.2282713762861934e-05,5.160535021810839e-05,41971,0.9999839742739824
