,b,p_error,v__0_0,gamma__0_0,s__0_0,tau__0_0,t0__0_0
0,1.0,0.05,4.1367378958101775e-05,1.0,0.012578192270525704,0.041674059037063726,0.0
1,1.0,0.05,3.673731470010643e-05,1.0,0.01301964360243711,0.0641351997512522,0.0
2,1.0,0.05,4.4835323933713166e-05,1.0,0.010907905632403557,0.05493985181870285,0.0
3,1.0,0.05,4.128706408113992e-05,1.0,0.012277553258815209,0.10251155838603535,0.0
4,1.0,0.05,3.4027054594018255e-05,1.0,0.012807755115768862,0.06633531393279335,0.0
5,1.0,0.05,4.1470466506737985e-05,1.0,0.012834229560417387,0.1420223019417084,0.0
6,1.0,0.05,3.957599332385741e-05,1.0,0.011750244816227091,0.06450662425048304,0.0
7,1.0,0.05,4.5231377931665375e-05,1.0,0.01209321039947512,0.061157839413627575,0.0
8,1.0,0.05,3.1918842539732286e-05,1.0,0.012441508198087736,0.1113577740276008,0.0
9,1.0,0.05,4.627215201264833e-05,1.0,0.011996198502122328,0.06109514842986032,0.0
10,1.0,0.05,3.448943430518512e-05,1.0,0.011874883558467561,0.11535497561282666,0.0
11,1.0,0.05,4.54427441408103e-05,1.0,0.011665761423563216,0.1993989995592048,0.0
12,1.0,0.05,4.3843787987045725e-05,1.0,0.011674322621348012,0.2032241425443012,0.0
13,1.0,0.05,3.8870296793227594e-05,1.0,0.010986255863921964,0.09464592449248967,0.0
14,1.0,0.05,4.01823835308989e-05,1.0,0.010692169540561914,0.07626181619347738,0.0
15,1.0,0.05,4.365137580340326e-05,1.0,0.011906789229432698,0.1961895776887382,0.0
16,1.0,0.05,3.273896425197093e-05,1.0,0.011724257390084421,0.08773177063554254,0.0
17,1.0,0.05,4.3557712959624e-05,1.0,0.011480696875409037,0.16474019874505968,0.0
18,1.0,0.05,3.845610512131549e-05,1.0,0.011198566243126654,0.05287251265809318,0.0
19,1.0,0.05,4.6827197175561595e-05,1.0,0.011319153968932271,0.14572830723484478,0.0
20,1.0,0.05,4.6827197175561595e-05,1.0,0.011319153968932271,0.14572830723484478,0.0
21,1.0,0.05,4.6827197175561595e-05,1.0,0.011319153968932271,0.14572830723484478,0.0
22,1.0,0.05,3.116339276827191e-05,1.0,0.012620409879224873,0.14360694585011793,0.0
23,1.0,0.05,4.0121900788070685e-05,1.0,0.011205608865837643,0.044254960240926046,0.0
24,1.0,0.05,4.3616697690729534e-05,1.0,0.011958117732928568,0.05255031271937275,0.0
25,1.0,0.05,4.284730810934102e-05,1.0,0.011406170331717114,0.12801970693776527,0.0
26,1.0,0.05,4.0396226514622954e-05,1.0,0.01131311396206419,0.011866388740328408,0.0
27,1.0,0.05,3.902154557115158e-05,1.0,0.012583262625326845,0.05763976797123919,0.0
28,1.0,0.05,4.8802907588673084e-05,1.0,0.012961043743351225,0.0584584874314759,0.0
29,1.0,0.05,3.163557837122082e-05,1.0,0.011059033051587045,0.3147444004561117,0.0
30,1.0,0.05,3.55090608366307e-05,1.0,0.012937978093625268,0.17617704295482403,0.0
31,1.0,0.05,4.184836361501879e-05,1.0,0.01284152054125948,0.08749920425358818,0.0
32,1.0,0.05,3.5692616894232627e-05,1.0,0.012230156901417415,0.16165664289891027,0.0
33,1.0,0.05,4.195818209003511e-05,1.0,0.012255559573813716,0.1679903305626142,0.0
34,1.0,0.05,4.231717109560966e-05,1.0,0.013020242959521077,0.25382296731791665,0.0
35,1.0,0.05,4.5680222567721465e-05,1.0,0.013021918710935144,0.028693142648916065,0.0
36,1.0,0.05,3.4450507135593824e-05,1.0,0.010983950214178185,0.007127311656291375,0.0
37,1.0,0.05,3.715081781170143e-05,1.0,0.01141979400620875,0.007880791252182783,0.0
38,1.0,0.05,3.8899602839371854e-05,1.0,0.012064715937285718,0.21920997673135365,0.0
39,1.0,0.05,3.7189305499418256e-05,1.0,0.011256323994662374,0.05959040110806093,0.0
40,1.0,0.05,4.356303264951604e-05,1.0,0.011364604068382059,0.11956820016858108,0.0
41,1.0,0.05,3.944524057446058e-05,1.0,0.01259606548455185,0.18327519343614312,0.0
42,1.0,0.05,4.023286179950412e-05,1.0,0.011498131025541241,0.020822744569291056,0.0
43,1.0,0.05,4.069057886467259e-05,1.0,0.012426807751153554,0.01845972936010563,0.0
44,1.0,0.05,3.820418515730368e-05,1.0,0.01137810469550766,0.013348322365802167,0.0
45,1.0,0.05,3.7934888078701276e-05,1.0,0.013374382283711336,0.17359900146044954,0.0
46,1.0,0.05,3.633668380343253e-05,1.0,0.011272295520255863,0.13784387908682838,0.0
47,1.0,0.05,3.990875767883916e-05,1.0,0.013190847687108714,0.12035644440563506,0.0
48,1.0,0.05,3.699081023241356e-05,1.0,0.012768687942291072,0.06708649643007156,0.0
49,1.0,0.05,3.623345964429851e-05,1.0,0.013166126531845273,0.07732800631935768,0.0
50,1.0,0.05,4.397928233086483e-05,1.0,0.010861369062642946,0.2020121033428317,0.0
51,1.0,0.05,4.63831435464605e-05,1.0,0.011412561647879285,0.17074224106387775,0.0
