,b,p_error,v__0_0,gamma__0_0,s__0_0,tau__0_0,t0__0_0
0,1.0,0.05,3.0843423630317155e-05,5.208819177167072,0.008845610329761958,2.9504785502545845,0.0
1,1.0,0.05,3.002434692150515e-05,4.418434869479498,0.008942223499626875,2.332475027326906,0.0
2,1.0,0.05,3.449379224328984e-05,1.3111491728256226,0.00901535383513644,1.1463687359274513,0.0
3,1.0,0.05,3.302333261662672e-05,6.27313005367462,0.009286997521142154,2.9803358453648188,0.0
4,1.0,0.05,2.417727179550544e-05,5.721195349971879,0.011565836597253456,3.9150229791195317,0.0
5,1.0,0.05,2.8102823476102933e-05,3.848277221095202,0.00935253880839215,3.7276313038661177,0.0
6,1.0,0.05,2.7009200359148735e-05,3.7257455589399626,0.009941387021103502,4.566175123031817,0.0
7,1.0,0.05,3.516803432317863e-05,5.023213471479423,0.009429200381737246,2.3050585138755637,0.0
8,1.0,0.05,2.4878014523744435e-05,5.153577709397666,0.010917691220771214,4.295997046006711,0.0
9,1.0,0.05,3.250583995209499e-05,5.354921933102915,0.009564187464678686,1.914350499930145,0.0
10,1.0,0.05,3.360204008446928e-05,4.489216216853279,0.008800095196836272,3.6600049627192677,0.0
11,1.0,0.05,3.360204008446928e-05,4.489216216853279,0.008800095196836272,3.6600049627192677,0.0
12,1.0,0.05,2.8929385659647152e-05,3.669450851208083,0.00978561260454258,4.980857939545661,0.0
13,1.0,0.05,3.730320018727444e-05,3.7393713917327744,0.009259397227913947,4.906345374287705,0.0
14,1.0,0.05,2.466373518142867e-05,4.516455869958776,0.010458115584969181,3.8846514724911225,0.0
15,1.0,0.05,4.08806420222339e-05,3.993425040003885,0.010302105900300769,3.198420874497378,0.0
16,1.0,0.05,3.2432816777152386e-05,5.200746406492954,0.01024091861232019,4.353011936003112,0.0
17,1.0,0.05,3.0621747642296783e-05,5.312686180610498,0.009424672649640135,2.1865823840903538,0.0
18,1.0,0.05,2.974968013674018e-05,5.762878671093546,0.01033953742405531,2.4522594729113223,0.0
19,1.0,0.05,3.137306526913308e-05,4.452185168980122,0.010625416008294091,3.324941465460905,0.0
20,1.0,0.05,3.137105016748207e-05,6.264476937075173,0.009158679547163923,2.7411435502328447,0.0
21,1.0,0.05,3.332143033269683e-05,4.476881131460658,0.011186916671833975,4.1229476900934605,0.0
22,1.0,0.05,4.083240060734732e-05,4.060437887453986,0.009758356811399728,4.246550934582418,0.0
23,1.0,0.05,2.419387744963664e-05,6.148398965443519,0.011074827325275559,3.029786546909053,0.0
