,b,p_error,v__0_0,gamma__0_0,s__0_0,tau__0_0,t0__0_0
0,1.0,0.05,5.486852463257793e-05,0.9670278332766227,0.0062097320297591,0.8492531403036876,0.0
1,1.0,0.05,5.6445790841853056e-05,0.9311388253432451,0.006375069293249283,0.4195294442571096,0.0
2,1.0,0.05,5.6445790841853056e-05,0.9311388253432451,0.006375069293249283,0.4195294442571096,0.0
3,1.0,0.05,5.705884576154445e-05,0.919859186413154,0.005892767289979909,0.6938254101390023,0.0
4,1.0,0.05,5.8896950170511986e-05,0.8065028631549076,0.007508058374563345,0.5151816105088936,0.0
5,1.0,0.05,5.234855072807402e-05,0.635240530778308,0.007202616695429555,0.9949201110571927,0.0
6,1.0,0.05,5.744718851969793e-05,0.92086843600576,0.006991249043619314,0.6090202117851714,0.0
7,1.0,0.05,4.703016988003578e-05,0.7359924002040614,0.007483224272621137,1.71754307486326,0.0
8,1.0,0.05,4.6943757524723004e-05,0.541167622038218,0.007017247015095184,1.715271452191174,0.0
9,1.0,0.05,5.093092407564732e-05,0.48547241932949703,0.0077788626698671644,1.3524538104289823,0.0
10,1.0,0.05,5.235570723640453e-05,0.635778700063188,0.008133283997090335,1.1373109240029158,0.0
11,1.0,0.05,5.015821733339798e-05,0.7262830602536621,0.008226608237108354,0.6468074101252055,0.0
12,1.0,0.05,5.505724531913139e-05,0.7800461780800418,0.006194485307347429,0.667541508583055,0.0
13,1.0,0.05,4.687169066424363e-05,0.8827663654451587,0.006490169011451234,2.051829790052283,0.0
14,1.0,0.05,5.311268674173707e-05,0.8292193903007927,0.0059877909844871565,1.1300372306097304,0.0
15,1.0,0.05,7.043841007829439e-05,0.7555113597944683,0.007894752431048525,0.3237666903078123,0.0
16,1.0,0.05,6.621862291346046e-05,0.5715607246586814,0.007481572393757588,0.3167650600936126,0.0
17,1.0,0.05,6.551772115907511e-05,0.8432257941523815,0.005991535956863697,0.5621649943529895,0.0
18,1.0,0.05,6.405127429739631e-05,0.8485857560949022,0.006086205564321609,0.4260894804726497,0.0
19,1.0,0.05,6.663196459395994e-05,0.7532428151341808,0.006031163373097107,0.3458311839011987,0.0
20,1.0,0.05,5.3344274441631126e-05,0.7995808828118918,0.006151091108094913,0.8693090143548875,0.0
21,1.0,0.05,5.3344274441631126e-05,0.7995808828118918,0.006151091108094913,0.8693090143548875,0.0
22,1.0,0.05,5.629741005589859e-05,0.8619422808046142,0.008064643511084001,0.63832779420824,0.0
23,1.0,0.05,5.733236474735368e-05,0.4924847772948677,0.00700741666978913,0.6046471512739305,0.0
24,1.0,0.05,4.63598683905254e-05,0.935515219913599,0.007952103288356037,1.257515335249827,0.0
25,1.0,0.05,4.845696292361674e-05,0.948485144482067,0.007388941866577578,1.6835073801475933,0.0
26,1.0,0.05,4.835800907357374e-05,0.9693181412192491,0.0076421198173341,0.9440244151758427,0.0
27,1.0,0.05,6.2829633758716e-05,0.9577330280451957,0.005847416127800127,0.35316988545863615,0.0
28,1.0,0.05,6.051969856591672e-05,0.8483109965520299,0.006793999184835136,0.43616559131420574,0.0
29,1.0,0.05,5.287460027537133e-05,0.9670895067090903,0.007654605355893835,0.7273398690170121,0.0
30,1.0,0.05,6.171712412936505e-05,0.6313665105867141,0.00602185387452089,0.49022962640840007,0.0
31,1.0,0.05,6.14259338047364e-05,0.8471105085396964,0.007007481179795705,0.3916341539354986,0.0
32,1.0,0.05,4.97833643528903e-05,0.8414935604084963,0.007023322256337069,1.4447649853401052,0.0
33,1.0,0.05,6.135450342424537e-05,0.8108013630051296,0.007494408963324219,0.30537911387362315,0.0
34,1.0,0.05,5.584212004435499e-05,0.7085744269420715,0.0062231952673263,0.49801298310189196,0.0
35,1.0,0.05,6.201202587552042e-05,0.8257820631975967,0.0076113147826344495,0.4923297901559921,0.0
36,1.0,0.05,4.195311261148307e-05,0.9544029132707355,0.008118522231466772,3.9549241831167334,0.0
37,1.0,0.05,4.603973521948645e-05,0.7283765290137456,0.008298993954563572,4.042316265894418,0.0
38,1.0,0.05,4.2114408312236856e-05,0.9567208903128392,0.009165954676753803,3.2274394112608853,0.0
39,1.0,0.05,4.795650770416624e-05,0.7873547138230705,0.007119664038785312,3.736562846072971,0.0
40,1.0,0.05,4.5032668716955974e-05,0.893453319349284,0.007206905604157447,3.6844197300749943,0.0
41,1.0,0.05,4.517857856233272e-05,0.8639426612231098,0.00623060121298931,2.2661258069851735,0.0
42,1.0,0.05,4.479089203592584e-05,0.9040235949634621,0.006377654622432191,2.5652421264230245,0.0
43,1.0,0.05,5.124311864014577e-05,0.6794901361862742,0.00698791351086607,0.8014844749823411,0.0
44,1.0,0.05,5.299486622052818e-05,0.8736162734130453,0.006690765171210119,0.6163378389942504,0.0
45,1.0,0.05,5.9898820748983616e-05,0.8162160347419469,0.008189876153886484,0.5520518141417851,0.0
46,1.0,0.05,5.639598052092517e-05,0.3702587009864864,0.007735137208945193,0.6023382642288365,0.0
47,1.0,0.05,5.485312107840941e-05,0.8342466681748117,0.007353519964488533,0.5804449227252662,0.0
48,1.0,0.05,5.816538896923767e-05,0.6894315285511468,0.007424132152081656,0.6140042087598861,0.0
49,1.0,0.05,5.687013452877661e-05,0.935931406440373,0.005853411435588418,0.6422576680778376,0.0
50,1.0,0.05,4.4911047954331835e-05,0.9451385416261111,0.00741524334227974,2.1360598471214307,0.0
51,1.0,0.05,5.157912845037944e-05,0.7221564127350089,0.007606358794596476,0.5575326615091106,0.0
52,1.0,0.05,4.8639774170736686e-05,0.8983145158833938,0.007902909304764522,1.5621350883864817,0.0
53,1.0,0.05,4.280583146075785e-05,0.4843618051249905,0.009022332754417065,1.3286973213657012,0.0
54,1.0,0.05,5.5735094385731294e-05,0.9247731116062408,0.008106470163343408,0.7852255935627703,0.0
55,1.0,0.05,5.276376895972661e-05,0.907480940696777,0.008140782024126157,0.4919037342275179,0.0
56,1.0,0.05,5.148098240011527e-05,0.9307693376347554,0.00713829301089229,0.4792091257020079,0.0
57,1.0,0.05,5.285755938913966e-05,0.8523798409918371,0.006618200498801539,0.9879961550880771,0.0
58,1.0,0.05,5.950281886721474e-05,0.7342494919557545,0.007099774071927102,0.7615195663602057,0.0
59,1.0,0.05,5.044017201194545e-05,0.8717233024066733,0.0070164478868739244,1.453991843827864,0.0
60,1.0,0.05,5.1925288642736294e-05,0.6780678629112025,0.0076806649752545015,1.17493070941378,0.0
61,1.0,0.05,4.9028994841667046e-05,0.7396418681996764,0.007837483399296727,0.8038696200601418,0.0
62,1.0,0.05,5.041683430964253e-05,0.7896736729330804,0.007278266030648777,0.8682382049095878,0.0
63,1.0,0.05,5.1669474761239324e-05,0.7558198433676218,0.008085381030577803,0.6793908222450508,0.0
64,1.0,0.05,5.319275224333316e-05,0.9431145452462903,0.008631570326848501,1.477324721263822,0.0
65,1.0,0.05,5.1575091407069725e-05,0.9619830367474123,0.008263336083587517,0.9340545187128585,0.0
66,1.0,0.05,5.326578743825516e-05,0.9302191664184996,0.009035462440616359,0.6626994280175023,0.0
67,1.0,0.05,6.347492323393793e-05,0.9902753998646272,0.005734699812537656,0.335468048063548,0.0
68,1.0,0.05,6.681449299211024e-05,0.9797178432710858,0.006364666100444732,0.19374150241235882,0.0
69,1.0,0.05,5.1770213260599034e-05,0.9754540400301188,0.0067064811700880715,0.7488080462414037,0.0
70,1.0,0.05,5.209216247510307e-05,0.9709822827665384,0.006767176067696167,0.631248290087847,0.0
71,1.0,0.05,5.8426918561244096e-05,0.8915420080461622,0.006747315083158901,0.2909435937475663,0.0
72,1.0,0.05,6.55673693773852e-05,0.7938718280377124,0.006732033442656579,0.46621169826815434,0.0
73,1.0,0.05,5.326343670820275e-05,0.7960738894770643,0.0065176109801486914,0.74270788323079,0.0
74,1.0,0.05,5.2011274090978166e-05,0.806722187776753,0.008186616925065017,0.7959755388612231,0.0
75,1.0,0.05,5.9935707710208424e-05,0.805416516881607,0.00794885608212941,0.4492069340450661,0.0
76,1.0,0.05,4.811775983882167e-05,0.9036465466761054,0.007546445434562557,0.675988511358862,0.0
77,1.0,0.05,4.8593602665221236e-05,0.8471946932567835,0.007803305155448841,1.0948757816271628,0.0
78,1.0,0.05,5.7608628409766784e-05,0.7122232019806898,0.0067724874308234114,0.5618267346160097,0.0
79,1.0,0.05,5.780022094603988e-05,0.8229505830949968,0.006815752256365775,0.46809759309637533,0.0
80,1.0,0.05,5.532285544756258e-05,0.5836499047890289,0.006966394149688098,0.7524682223826983,0.0
81,1.0,0.05,4.910582012767068e-05,0.9406566906310339,0.007387296693310232,1.3987613555474514,0.0
82,1.0,0.05,5.0969679803603864e-05,0.8568114215344735,0.007929812189493365,0.6205623495794065,0.0
83,1.0,0.05,5.7392257451636794e-05,0.6646729330388652,0.00670953273000397,0.49496272861551494,0.0
84,1.0,0.05,5.105196972284085e-05,0.8770377277311336,0.008021129380875085,0.6895758523572905,0.0
85,1.0,0.05,5.790735751082631e-05,0.7977379680687093,0.007901082341310277,1.0188967987557664,0.0
86,1.0,0.05,5.8323509218160345e-05,0.6975463206950998,0.007728058556928776,0.7057506190459472,0.0
87,1.0,0.05,4.8382947000572204e-05,0.9139624154294346,0.005967353972728803,1.0431447995630103,0.0
88,1.0,0.05,6.136934332170634e-05,0.8910694108728539,0.005618732451446535,0.4763653826735017,0.0
89,1.0,0.05,5.352450322139246e-05,0.6394850081437191,0.006945330764157184,0.6916104001182366,0.0
90,1.0,0.05,5.2206109209828316e-05,0.7999717888286977,0.006993336220310875,0.7088032594719302,0.0
91,1.0,0.05,5.840610071136174e-05,0.8320531592961533,0.007342756624524954,0.4675361664725177,0.0
92,1.0,0.05,5.654482593686142e-05,0.7530058035924156,0.006829294143849437,0.6792360808416015,0.0
93,1.0,0.05,5.828570307797138e-05,0.6201103408571313,0.008500814410491673,0.6982852554012519,0.0
94,1.0,0.05,5.292331982874206e-05,0.79861626692173,0.0064593174950247105,0.6742081592526219,0.0
95,1.0,0.05,4.96833996868122e-05,0.8143836568395155,0.007178658276442006,0.9684795920851803,0.0
96,1.0,0.05,4.838112034893767e-05,0.7948863354251472,0.007369040132852714,0.9549801946055958,0.0
