,b,p_error,v__0_0,gamma__0_0,s__0_0,tau__0_0,t0__0_0
0,1.0,0.05,3.738607310034943e-05,0.0,0.010212393598131043,1.2537847598288998,0.0
1,1.0,0.05,3.7496396999969826e-05,0.0,0.010631684156525788,1.4029933495113145,0.0
2,1.0,0.05,3.510642034864886e-05,0.0,0.011288153560005655,0.9335413627616213,0.0
3,1.0,0.05,3.997510401743776e-05,0.0,0.011603338935989253,1.8405778547241254,0.0
4,1.0,0.05,3.8567934765707254e-05,0.0,0.010839062169729314,0.8253748735499872,0.0
5,1.0,0.05,3.0062201576923154e-05,0.0,0.009621058226781784,3.9459948703960506,0.0
6,1.0,0.05,3.1022014707907515e-05,0.0,0.011950714938567829,3.5285489839943427,0.0
7,1.0,0.05,3.540792604259257e-05,0.0,0.008956789338986547,4.828642328788261,0.0
8,1.0,0.05,2.3075764615266557e-05,0.0,0.01137278937664923,4.520833322512155,0.0
9,1.0,0.05,3.728926584938225e-05,0.0,0.009652253280691041,0.9657086560166019,0.0
10,1.0,0.05,3.637983512626792e-05,0.0,0.00888263348205948,0.6788203456085364,0.0
11,1.0,0.05,3.7809485214139196e-05,0.0,0.008963834444818847,0.8451728500010963,0.0
12,1.0,0.05,3.261795870549789e-05,0.0,0.009282788581115798,2.0957962156091696,0.0
13,1.0,0.05,3.266548981674306e-05,0.0,0.009300979433290916,2.0434596172182125,0.0
14,1.0,0.05,3.070279324318231e-05,0.0,0.010697712961686834,2.6915369766038104,0.0
15,1.0,0.05,3.034346982975254e-05,0.0,0.011518389036422,2.268034903033049,0.0
16,1.0,0.05,2.602932903871038e-05,0.0,0.010303648453869736,3.122356277631782,0.0
17,1.0,0.05,2.5900877085270104e-05,0.0,0.010695144961944155,3.6568944433991524,0.0
18,1.0,0.05,3.263843992880492e-05,0.0,0.009788458450917295,2.8593155624938453,0.0
19,1.0,0.05,3.765697952928116e-05,0.0,0.009737630076905625,2.0129632164565154,0.0
20,1.0,0.05,3.527216468273262e-05,0.0,0.010578825588495502,1.6572505478465673,0.0
21,1.0,0.05,3.7069020392512894e-05,0.0,0.009492011098532007,1.0623277619391445,0.0
22,1.0,0.05,4.018953900389824e-05,0.0,0.009638395219749395,1.4298919709068227,0.0
23,1.0,0.05,3.759963401348297e-05,0.0,0.009318467481867754,0.5435327721873853,0.0
24,1.0,0.05,3.564440988080462e-05,0.0,0.00918087795183694,0.6528416409646821,0.0
25,1.0,0.05,3.807172076787532e-05,0.0,0.009773669738809119,1.7365017697578968,0.0
26,1.0,0.05,3.747235305844597e-05,0.0,0.010288390110721534,2.5578999734737993,0.0
27,1.0,0.05,3.076029708084239e-05,0.0,0.009537236374597252,1.3130802723256525,0.0
28,1.0,0.05,3.375092812883235e-05,0.0,0.009462428770028859,1.4302413503543454,0.0
29,1.0,0.05,3.224669579446684e-05,0.0,0.0091865545657386,1.8318906650082232,0.0
30,1.0,0.05,3.111491785616467e-05,0.0,0.010943725170887765,1.5234140425671892,0.0
31,1.0,0.05,4.210887640022974e-05,0.0,0.009355901823381418,1.8362678580606193,0.0
32,1.0,0.05,2.653724800151553e-05,0.0,0.009987963734160893,1.5836608631814522,0.0
33,1.0,0.05,2.4364766663512977e-05,0.0,0.010775824846255432,1.335460786839553,0.0
34,1.0,0.05,2.4183062460916297e-05,0.0,0.010694386584690282,1.0827424874781992,0.0
35,1.0,0.05,2.51458111158419e-05,0.0,0.010569117837466143,2.0798143746186524,0.0
36,1.0,0.05,2.952329569452792e-05,0.0,0.009325508379058038,1.803245833127779,0.0
37,1.0,0.05,3.0492979884475493e-05,0.0,0.009368342109827437,1.3245155125934,0.0
38,1.0,0.05,3.152322307148335e-05,0.0,0.010654027117349927,1.65383292786885,0.0
39,1.0,0.05,2.270516320542778e-05,0.0,0.009086257933990177,2.804824937023656,0.0
40,1.0,0.05,3.693591856451536e-05,0.0,0.010463104828676564,3.708589707291786,0.0
41,1.0,0.05,2.6988025245419924e-05,0.0,0.00966872924366463,1.7449492106966535,0.0
42,1.0,0.05,3.7642960716172255e-05,0.0,0.010816099291921254,2.421519101763513,0.0
43,1.0,0.05,3.0762915782403755e-05,0.0,0.009969982324166583,1.036001282004097,0.0
44,1.0,0.05,3.0464013812047316e-05,0.0,0.009381234635533541,1.6375126967582334,0.0
45,1.0,0.05,3.8918703863754284e-05,0.0,0.008895368804831164,1.3111328568641074,0.0
46,1.0,0.05,2.9270047358109685e-05,0.0,0.008626514123179968,1.5216133931410805,0.0
47,1.0,0.05,3.41220668954043e-05,0.0,0.009484721388294518,1.4799647515599372,0.0
48,1.0,0.05,3.550065574644721e-05,0.0,0.009661921458468758,1.4168054806141388,0.0
49,1.0,0.05,3.491909191389791e-05,0.0,0.009419148073815043,2.146683181330456,0.0
50,1.0,0.05,3.575140415335647e-05,0.0,0.00853765967255537,0.7494660139515446,0.0
51,1.0,0.05,3.575140415335647e-05,0.0,0.00853765967255537,0.7494660139515446,0.0
52,1.0,0.05,4.263667043296515e-05,0.0,0.009352027663046807,0.8900000076644725,0.0
53,1.0,0.05,4.051417373112459e-05,0.0,0.00892334184165186,0.7964865574367992,0.0
54,1.0,0.05,4.0300402216109496e-05,0.0,0.009402907062054357,1.9573111773801997,0.0
55,1.0,0.05,3.067119493854702e-05,0.0,0.009782632934111421,2.650381003119951,0.0
56,1.0,0.05,3.129050067278484e-05,0.0,0.010593824634971065,1.8886934045232027,0.0
57,1.0,0.05,3.279823790129846e-05,0.0,0.01067392246872119,2.151283758872335,0.0
58,1.0,0.05,3.1258312993014554e-05,0.0,0.010722118243237226,2.0212488179012857,0.0
59,1.0,0.05,3.1706315017493215e-05,0.0,0.009678694430663517,1.2158948051754899,0.0
60,1.0,0.05,2.8543431015295897e-05,0.0,0.010357587757992217,4.184666252754237,0.0
61,1.0,0.05,3.24077255962005e-05,0.0,0.010334469513153349,2.969364367319767,0.0
62,1.0,0.05,3.904281950668941e-05,0.0,0.010795049132792426,2.946667635898172,0.0
63,1.0,0.05,3.097564735580066e-05,0.0,0.010174978180495963,0.7903742600161933,0.0
64,1.0,0.05,3.364095030294983e-05,0.0,0.009717008906515827,4.251927395755097,0.0
65,1.0,0.05,2.990028344628302e-05,0.0,0.009945130108869242,3.887839665214965,0.0
66,1.0,0.05,3.6006674653378153e-05,0.0,0.009333259199541031,2.166189504124417,0.0
67,1.0,0.05,3.775169500517781e-05,0.0,0.009435932511054944,1.6176106944758843,0.0
68,1.0,0.05,3.256976289669881e-05,0.0,0.010341077754307721,1.5466146965413765,0.0
69,1.0,0.05,4.105499950984969e-05,0.0,0.009250876036691356,1.0165227360852729,0.0
70,1.0,0.05,2.740796455791449e-05,0.0,0.01112427087501923,2.3369876006229156,0.0
71,1.0,0.05,2.675679355127933e-05,0.0,0.009900275126218697,2.210324787602459,0.0
72,1.0,0.05,3.938410340181948e-05,0.0,0.011656305349416897,2.5642043913331927,0.0
73,1.0,0.05,3.7910311969365523e-05,0.0,0.011407434439108214,3.1723042704450317,0.0
74,1.0,0.05,3.783670321897687e-05,0.0,0.009167604660077374,1.285285147483259,0.0
75,1.0,0.05,3.783670321897687e-05,0.0,0.009167604660077374,1.285285147483259,0.0
76,1.0,0.05,3.8264833194881644e-05,0.0,0.009451540160230221,1.3680811308310301,0.0
77,1.0,0.05,3.531365464553395e-05,0.0,0.009473253707670791,1.1694440907578376,0.0
78,1.0,0.05,3.101368094032485e-05,0.0,0.009148290919521344,1.8181932016875082,0.0
79,1.0,0.05,2.642878906387996e-05,0.0,0.010350165148409302,1.5641470790188081,0.0
80,1.0,0.05,3.155402537095944e-05,0.0,0.009181409131121317,2.219358609444486,0.0
81,1.0,0.05,3.114069065233167e-05,0.0,0.010585227093202374,4.166892208617529,0.0
82,1.0,0.05,3.0178411153841362e-05,0.0,0.013153226595362576,3.4672450588848913,0.0
83,1.0,0.05,2.7817784919661255e-05,0.0,0.012391875384509806,3.290600059321239,0.0
84,1.0,0.05,2.6663086190605975e-05,0.0,0.0127399185382738,2.0242923628748017,0.0
85,1.0,0.05,2.5237366877025046e-05,0.0,0.012409068277628239,2.778134168638071,0.0
86,1.0,0.05,3.416353582204884e-05,0.0,0.007924169689380837,1.7424399792945358,0.0
87,1.0,0.05,3.3053575687969826e-05,0.0,0.00845740968991905,1.0402656436722246,0.0
88,1.0,0.05,3.4845788997790736e-05,0.0,0.008490280186725702,1.029294399337389,0.0
89,1.0,0.05,3.3167722488790484e-05,0.0,0.009918349632751967,4.045480026830443,0.0
90,1.0,0.05,3.432510861869485e-05,0.0,0.009994610880514076,3.9980747732338306,0.0
91,1.0,0.05,2.879397752635623e-05,0.0,0.010008443913837463,2.527235256388887,0.0
92,1.0,0.05,3.1109470064486755e-05,0.0,0.010092158360724076,2.4955240837784167,0.0
93,1.0,0.05,3.6671125804791384e-05,0.0,0.01042469283754461,1.5394303842811659,0.0
94,1.0,0.05,4.4468833081627346e-05,0.0,0.010067146858411471,0.8057689360094447,0.0
95,1.0,0.05,4.4468833081627346e-05,0.0,0.010067146858411471,0.8057689360094447,0.0
96,1.0,0.05,4.4468833081627346e-05,0.0,0.010067146858411471,0.8057689360094447,0.0
97,1.0,0.05,4.065686334565492e-05,0.0,0.009868144990368366,0.8269416995283686,0.0
98,1.0,0.05,3.782828159331415e-05,0.0,0.009536957057414,1.1594510238437359,0.0
