,b,p_error,v__0_0,gamma__0_0,s__0_0,tau__0_0,t0__0_0
0,1.0,0.05,3.40546038454831e-05,0.2664417106391497,0.008284301565474557,3.789798705476077,0.0
1,1.0,0.05,2.7251119208254098e-05,0.5809110743997259,0.008647507172768772,3.8062103622577976,0.0
2,1.0,0.05,2.6262663672664155e-05,0.6643274342854291,0.008618279778715892,2.948885438689182,0.0
3,1.0,0.05,3.171133454619569e-05,0.2946984038082334,0.008274183537173439,3.386762836484195,0.0
4,1.0,0.05,3.0472481100736596e-05,0.3667483140986576,0.007813196067938693,3.0946417128968857,0.0
5,1.0,0.05,2.9209963904703313e-05,0.4296170575864231,0.009081023903868774,4.529452292367188,0.0
6,1.0,0.05,3.091241591810578e-05,0.4270031687570288,0.007653184284692626,3.310659338898141,0.0
7,1.0,0.05,3.130793780435956e-05,0.5266476940259714,0.008910587689116723,3.8790127175800624,0.0
8,1.0,0.05,2.590904383601068e-05,0.4333421897184362,0.008899283666078249,2.8465874106497835,0.0
9,1.0,0.05,3.288676099578538e-05,0.2682440869958729,0.007499671876853476,4.815985674665864,0.0
10,1.0,0.05,3.0920075627452314e-05,0.28848885644402245,0.0075843091176791165,4.813506243098403,0.0
11,1.0,0.05,2.9589231093607592e-05,0.5306940429636935,0.00909496068730793,2.109281749645892,0.0
12,1.0,0.05,2.8203054698644974e-05,0.5035503008979081,0.007891903388129298,4.725612787272228,0.0
13,1.0,0.05,2.8995736149026932e-05,0.477402721053549,0.007910545648304871,4.6074335068328685,0.0
14,1.0,0.05,2.8602094476374222e-05,0.2926125831993236,0.008602966110066921,2.880503878524957,0.0
15,1.0,0.05,3.0020251579753812e-05,0.3225515793985405,0.008314392592504986,3.8600922526250434,0.0
16,1.0,0.05,3.042043281738191e-05,0.3102802195848664,0.008054594993682334,4.037548279565733,0.0
17,1.0,0.05,2.9313165588741217e-05,0.33681883136016744,0.008712246707224536,4.760389670471989,0.0
18,1.0,0.05,2.838596115582687e-05,0.3123708288261504,0.008546095757876099,4.813843192279086,0.0
19,1.0,0.05,3.132638835611287e-05,0.32720922421063214,0.007545389106157837,3.109056621151083,0.0
20,1.0,0.05,2.8029705083584412e-05,0.3875557826133438,0.008662684879016782,4.274738279459283,0.0
21,1.0,0.05,3.296417181454052e-05,0.3809890801899982,0.007637027370268699,3.512261941794486,0.0
22,1.0,0.05,2.818617790140126e-05,0.37586865048288765,0.008693769860079931,4.723917193916177,0.0
23,1.0,0.05,3.248758300563953e-05,0.44147959823241756,0.008003660184579561,2.8354459193566326,0.0
24,1.0,0.05,3.0741225463431924e-05,0.2675699089807555,0.00812721005755138,3.2296323579813455,0.0
25,1.0,0.05,2.910227231555489e-05,0.4286492413361458,0.007653793847044912,4.247315652838522,0.0
26,1.0,0.05,3.150140535861243e-05,0.3081477907304695,0.008605769274306724,3.4837824534933666,0.0
27,1.0,0.05,3.144594332903316e-05,0.5141644201762894,0.007746669328122325,2.2336465543297823,0.0
28,1.0,0.05,3.1030212727623676e-05,0.3884404618653132,0.008261856393040373,3.1373258536442172,0.0
29,1.0,0.05,2.946944174746323e-05,0.4924091869911642,0.009343813964413712,3.239469311449455,0.0
30,1.0,0.05,3.3626526435460125e-05,0.578916419303221,0.007899757190914741,2.3815557941442984,0.0
31,1.0,0.05,3.3626526435460125e-05,0.578916419303221,0.007899757190914741,2.3815557941442984,0.0
32,1.0,0.05,2.7156175809521318e-05,0.15608948701918024,0.008459872781345862,4.705763560331052,0.0
33,1.0,0.05,2.8344885840591014e-05,0.2204753062910978,0.008406566495526424,4.6425575994189225,0.0
34,1.0,0.05,2.7957307997002048e-05,0.3219703556553668,0.008831957898761846,3.9690453105666768,0.0
35,1.0,0.05,2.994580033821301e-05,0.31554626666760477,0.007973524010681065,4.376879618736417,0.0
36,1.0,0.05,3.3629477450301625e-05,0.3873857280660271,0.008248794394588907,2.4251206113961734,0.0
37,1.0,0.05,3.3629477450301625e-05,0.3873857280660271,0.008248794394588907,2.4251206113961734,0.0
38,1.0,0.05,3.204404681307004e-05,0.3560715223488913,0.00802967256384104,3.9522504234229228,0.0
39,1.0,0.05,3.165571474741762e-05,0.3152356052367864,0.00829573740512888,3.0603823994025463,0.0
40,1.0,0.05,3.21055250595178e-05,0.2899384343150384,0.008988134843284921,3.5004189584849295,0.0
41,1.0,0.05,3.2046778610531326e-05,0.4982201894378093,0.008741310886623744,3.1245680968110525,0.0
42,1.0,0.05,3.15262774411567e-05,0.42653553350723783,0.008093770795821435,2.1035427228884083,0.0
43,1.0,0.05,2.740988257209669e-05,0.3507935584028612,0.008782983527161137,4.655467880189682,0.0
44,1.0,0.05,3.059454264360899e-05,0.5074173387914502,0.007837796742008359,2.977559845455528,0.0
45,1.0,0.05,2.8314450695055465e-05,0.5436651903572098,0.008160010076812206,3.1844705415398784,0.0
46,1.0,0.05,3.1194109585487426e-05,0.5146500677450376,0.007603171494075753,2.1309142628543216,0.0
47,1.0,0.05,3.228028718699629e-05,0.48983489601751096,0.007915562277662562,3.4171581583420085,0.0
48,1.0,0.05,2.7876323924594835e-05,0.3893671409731496,0.008288507925334563,3.6662492525070602,0.0
49,1.0,0.05,3.236174004835078e-05,0.26217554757015726,0.008108767780347014,4.500376128489942,0.0
50,1.0,0.05,2.8277262009663566e-05,0.33000122308486013,0.007520710962704285,4.36065971932236,0.0
51,1.0,0.05,3.315171281475416e-05,0.29299523764629143,0.008014680083170526,4.082903366307644,0.0
